Category,Term,TermName,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,Log2E,Log10FDR
KEGG_PATHWAY,hsa03040,Spliceosome,29,3.866666667,1.84E-08,"9343, 6432, 6434, 3183, 1655, 55660, 7919, 23020, 3312, 10594, 9416, 10992, 6426, 6626, 3190, 22827, 5356, 27316, 27258, 24148, 22985, 3306, 1665, 3304, 51691, 3303, 29896, 11157, 57819",476,147,8164,3.383582004,5.61E-06,4.14E-06,3.60E-06,1.758551354,5.443697499
KEGG_PATHWAY,hsa05132,Salmonella infection,39,5.2,3.25E-08,"929, 4790, 10095, 10094, 10097, 10096, 29108, 3320, 7280, 7184, 375, 203068, 1432, 998, 834, 89953, 5216, 4646, 5879, 51429, 7277, 9475, 10381, 10383, 64746, 2317, 23191, 2316, 10109, 79026, 3326, 1785, 10121, 7846, 10540, 5603, 11258, 8717, 2318",476,249,8164,2.686342007,9.91E-06,4.14E-06,3.60E-06,1.425642991,5.443697499
KEGG_PATHWAY,hsa04141,Protein processing in endoplasmic reticulum,31,4.133333333,4.07E-08,"9601, 10130, 3320, 22872, 7184, 3337, 3312, 5610, 811, 10970, 2923, 5034, 9632, 6184, 10525, 1965, 3306, 56886, 3304, 3326, 3303, 3301, 821, 6238, 10484, 10483, 823, 824, 10961, 3309, 1603",476,171,8164,3.10929284,1.24E-05,4.14E-06,3.60E-06,1.636586499,5.443697499
KEGG_PATHWAY,hsa05130,Pathogenic Escherichia coli infection,33,4.4,9.42E-08,"4691, 4790, 10095, 10094, 10097, 10096, 29108, 7280, 4629, 10458, 375, 203068, 1432, 3059, 4642, 998, 834, 4646, 5879, 4627, 7277, 9475, 7430, 10381, 10383, 9632, 4542, 23191, 10109, 2017, 7846, 5603, 8717",476,197,8164,2.87305379,2.87E-05,7.19E-06,6.24E-06,1.522585004,5.20481541
KEGG_PATHWAY,hsa03050,Proteasome,15,2,1.80E-07,"5690, 5696, 5685, 5706, 5717, 5708, 5719, 5709, 5720, 5721, 5700, 5701, 5702, 5714, 5705",476,46,8164,5.592802338,5.50E-05,1.10E-05,9.55E-06,2.483571343,5.019996628
KEGG_PATHWAY,hsa05014,Amyotrophic lateral sclerosis,47,6.266666667,3.98E-07,"7384, 9782, 6432, 5685, 7280, 23225, 5717, 4728, 5719, 310, 4928, 203068, 598, 1432, 60673, 834, 89953, 5216, 10452, 5714, 4702, 5879, 1537, 5690, 7175, 7277, 10381, 10383, 23435, 25978, 5706, 1965, 5708, 2876, 5709, 10121, 5700, 7846, 5701, 4513, 10540, 5702, 5603, 11258, 3309, 5705, 5903",476,364,8164,2.214585834,1.21E-04,2.02E-05,1.76E-05,1.147036915,4.754487332
KEGG_PATHWAY,hsa05020,Prion disease,37,4.933333333,2.86E-06,"5580, 7384, 5880, 5685, 7280, 5717, 4728, 5719, 203068, 1432, 3312, 89953, 7417, 5714, 4702, 5879, 1537, 5690, 7277, 10381, 10383, 5706, 1965, 3306, 5708, 5709, 3304, 3303, 5700, 7846, 5701, 4513, 5702, 5603, 10963, 3309, 5705",476,273,8164,2.324529812,8.73E-04,1.25E-04,1.08E-04,1.216938928,3.966576245
KEGG_PATHWAY,hsa01100,Metabolic pathways,127,16.93333333,1.52E-05,"7167, 191, 9060, 2271, 471, 231, 2548, 353, 4728, 4048, 2947, 84284, 6240, 10380, 18, 29956, 2683, 3098, 240, 760, 259307, 523, 55577, 644, 2673, 525, 9, 526, 529, 6652, 126792, 4191, 29926, 29925, 56954, 3939, 2203, 2720, 60496, 55748, 5831, 79717, 5315, 79837, 6888, 80142, 5834, 3418, 36, 134147, 7358, 3155, 1890, 2582, 130589, 3030, 5050, 5049, 427, 4513, 2618, 2739, 47, 5223, 64754, 3162, 2194, 7086, 5973, 4522, 52, 2628, 53, 1537, 64087, 51727, 5230, 5351, 5198, 80308, 25796, 23410, 1152, 7372, 2876, 1786, 50484, 51056, 203, 5226, 7384, 9562, 373156, 113675, 6697, 9446, 51181, 178, 1312, 22929, 4942, 4668, 4702, 5130, 131870, 50814, 5373, 5498, 23474, 6184, 10327, 4837, 54187, 1841, 1962, 587, 10606, 84532, 622, 226, 54344, 10728, 1609, 4830, 4831, 2936, 1603",476,1540,8164,1.414422132,0.00462096,5.79E-04,5.03E-04,0.500212754,3.298432015
KEGG_PATHWAY,hsa04612,Antigen processing and presentation,16,2.133333333,3.46E-05,"3122, 3320, 3306, 3304, 3326, 3303, 972, 1520, 3312, 821, 811, 5720, 5721, 3309, 2923, 3308",476,78,8164,3.518207283,0.010508301,0.001173747,0.001019813,1.814840485,2.991479456
KEGG_PATHWAY,hsa04144,Endocytosis,32,4.266666667,5.21E-05,"10095, 10094, 10097, 10096, 55040, 375, 377, 51100, 378, 1213, 3312, 832, 58533, 998, 128866, 10015, 5119, 11031, 8027, 6642, 160, 7251, 163, 25978, 27131, 3306, 10109, 3304, 84313, 3303, 1785, 55737",476,251,8164,2.186614885,0.015752806,0.001587779,0.001379545,1.12869915,2.860264129
KEGG_PATHWAY,hsa05134,Legionellosis,13,1.733333333,8.38E-05,"929, 9554, 4790, 29108, 3306, 375, 3304, 3303, 3312, 834, 1937, 1915, 718",476,57,8164,3.911690992,0.025243272,0.002324207,0.002019393,1.967792408,2.694779154
KEGG_PATHWAY,hsa05131,Shigellosis,31,4.133333333,9.37E-05,"5580, 929, 4790, 10095, 10094, 10097, 10096, 29108, 375, 598, 1432, 3059, 998, 834, 5216, 5879, 718, 9475, 7334, 7335, 3098, 7094, 10109, 2017, 81, 823, 824, 11335, 5603, 8717, 87",476,247,8164,2.152587351,0.028174786,0.002381498,0.00206917,1.106071783,2.684203827
KEGG_PATHWAY,hsa05022,Pathways of neurodegeneration - multiple diseases,49,6.533333333,1.09E-04,"7280, 1020, 4728, 203068, 598, 60673, 1452, 10131, 7317, 10452, 1537, 10381, 10383, 5706, 2876, 5708, 5709, 7846, 5700, 10540, 5701, 5702, 5705, 9246, 7384, 4790, 5685, 27429, 3064, 5717, 5719, 1432, 89953, 7417, 5714, 4702, 5879, 5690, 7277, 23435, 25978, 1965, 10121, 823, 824, 4513, 5603, 11258, 3309",476,476,8164,1.765570934,0.032631452,0.00255184,0.002217173,0.820134784,2.654200419
KEGG_PATHWAY,hsa05012,Parkinson disease,32,4.266666667,1.55E-04,"7384, 9246, 5685, 7280, 27429, 5717, 4728, 5719, 203068, 598, 10131, 89953, 7417, 7317, 5714, 4702, 1537, 5690, 7277, 10381, 10383, 5706, 1965, 5708, 5709, 5700, 7846, 5701, 4513, 5702, 3309, 5705",476,266,8164,2.063309534,0.046229372,0.0033806,0.002937242,1.044960268,2.53206027
KEGG_PATHWAY,hsa04145,Phagosome,22,2.933333333,1.79E-04,"929, 9554, 7277, 7057, 10381, 11151, 7058, 10383, 3122, 7280, 203068, 1520, 523, 821, 3685, 811, 525, 526, 7846, 529, 5879, 718",476,152,8164,2.482419284,0.053195633,0.003643859,0.003165976,1.311746809,2.499492382
KEGG_PATHWAY,hsa05016,Huntington disease,35,4.666666667,1.91E-04,"7384, 5685, 7280, 3064, 5717, 4728, 5719, 203068, 1213, 60673, 89953, 7417, 5714, 4702, 1537, 5690, 7277, 10381, 10383, 160, 163, 7052, 5706, 5708, 2876, 5709, 10121, 5700, 7846, 5701, 4513, 10540, 5702, 11258, 5705",476,306,8164,1.961745483,0.056647567,0.00364436,0.003166411,0.972137878,2.499432714
