Category,Term,TermName,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,Log2E,Log10FDR
KEGG_PATHWAY,hsa03010,Ribosome,53,6.235294118,8.11E-23,"6230, 6231, 6157, 6234, 9349, 6159, 6158, 6235, 2197, 6191, 6150, 51121, 6227, 6228, 11222, 11224, 6164, 6122, 6201, 6124, 6203, 6169, 6202, 6125, 63875, 6160, 6161, 29074, 3921, 4736, 6175, 6130, 9045, 6132, 6134, 6137, 6128, 6204, 6207, 6129, 6208, 6142, 6141, 6144, 6188, 6187, 6189, 6222, 51073, 6138, 9801, 6218, 6217",564,158,8164,4.85559745,2.51E-20,2.51E-20,2.23E-20,2.279648821,19.65169514
KEGG_PATHWAY,hsa05171,Coronavirus disease - COVID-19,63,7.411764706,1.19E-21,"6230, 6231, 6157, 6234, 9349, 6159, 6158, 6235, 2197, 6191, 51121, 6227, 5610, 6228, 717, 11224, 718, 6164, 6122, 6201, 6124, 6203, 6169, 6202, 6125, 2243, 6160, 6161, 720, 721, 3921, 4736, 6175, 6130, 9045, 6132, 6773, 6772, 6134, 6137, 6774, 1432, 6128, 6204, 4940, 9636, 6207, 6129, 6208, 6142, 6141, 6144, 6188, 6187, 6189, 6222, 103, 4599, 6138, 6218, 6217, 5603, 629",564,232,8164,3.930759354,3.68E-19,1.84E-19,1.64E-19,1.974808043,18.78515615
KEGG_PATHWAY,hsa04141,Protein processing in endoplasmic reticulum,45,5.294117647,6.44E-15,"9601, 7323, 7322, 10130, 7841, 10294, 10808, 3320, 22872, 7184, 3337, 3312, 1650, 5610, 811, 7415, 10970, 6745, 6748, 10952, 2923, 6185, 5034, 9632, 581, 6184, 10525, 1965, 81567, 56886, 10802, 3304, 201595, 3326, 3303, 821, 6238, 10484, 10483, 823, 10961, 10960, 3309, 1603, 3703",564,171,8164,3.809257186,1.99E-12,6.63E-13,5.90E-13,1.929509696,12.22914799
KEGG_PATHWAY,hsa03040,Spliceosome,41,4.823529412,1.52E-14,"9785, 6430, 4670, 9343, 6432, 6434, 6632, 3183, 56259, 1655, 55660, 7919, 23020, 3312, 4686, 10594, 9416, 10772, 6625, 10992, 6426, 6627, 6626, 6628, 8683, 22827, 9775, 27316, 27258, 24148, 22985, 1665, 3304, 51691, 3303, 29896, 23450, 6633, 11157, 57819, 6635",564,147,8164,4.03729435,4.70E-12,1.17E-12,1.04E-12,2.013388774,11.98296666
KEGG_PATHWAY,hsa03050,Proteasome,19,2.235294118,4.35E-10,"9861, 5683, 5696, 5685, 5706, 5717, 5718, 5708, 5719, 5709, 5698, 5720, 5721, 5700, 5701, 5702, 5714, 5704, 5705",564,46,8164,5.978877582,1.34E-07,2.69E-08,2.39E-08,2.579874672,7.621602099
KEGG_PATHWAY,hsa01250,Biosynthesis of nucleotide sugars,15,1.764705882,6.51E-08,"5373, 64841, 7358, 6675, 3101, 2582, 3098, 29926, 29925, 54187, 55276, 2762, 55577, 2673, 5238",564,37,8164,5.868315124,2.01E-05,3.35E-06,2.98E-06,2.552946345,5.525783736
KEGG_PATHWAY,hsa00520,Amino sugar and nucleotide sugar metabolism,17,2,8.36E-08,"51706, 5373, 64841, 7358, 6675, 3101, 2582, 3098, 29926, 29925, 54187, 55276, 2762, 55577, 2673, 5973, 5238",564,49,8164,5.022000289,2.58E-05,3.69E-06,3.28E-06,2.328262112,5.484126156
KEGG_PATHWAY,hsa05130,Pathogenic Escherichia coli infection,36,4.235294118,1.59E-07,"4691, 10092, 10095, 10094, 5861, 10097, 10096, 29108, 7280, 4629, 375, 203068, 1432, 3059, 4642, 998, 836, 10972, 4646, 5879, 4627, 6188, 7277, 7430, 10381, 10383, 9632, 4542, 581, 23191, 10802, 10109, 2017, 54205, 5603, 8717",564,197,8164,2.645210066,4.90E-05,6.13E-06,5.45E-06,1.403382297,5.263603498
KEGG_PATHWAY,hsa04612,Antigen processing and presentation,21,2.470588235,1.91E-07,"6890, 6892, 3123, 3122, 3320, 10437, 3106, 3304, 3326, 3303, 972, 1520, 3312, 567, 821, 811, 5720, 5721, 3309, 2923, 3308",564,78,8164,3.897163121,5.90E-05,6.56E-06,5.83E-06,1.962424319,5.234331445
KEGG_PATHWAY,hsa05020,Prion disease,43,5.058823529,5.83E-07,"9861, 5580, 5880, 5683, 5685, 7280, 292, 64837, 5717, 5718, 5719, 203068, 1432, 3312, 89953, 7417, 836, 7416, 5714, 5879, 1537, 4704, 7277, 10381, 10383, 581, 5706, 1965, 1347, 5708, 5709, 3304, 3303, 5700, 5701, 4513, 54205, 5702, 5603, 5704, 10963, 3309, 5705",564,273,8164,2.279972982,1.80E-04,1.80E-05,1.60E-05,1.189016728,4.795880017
