Category,Term,TermName,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,Log2E,Log10FDR
KEGG_PATHWAY,hsa00130,Ubiquinone and other terpenoid-quinone biosynthesis,4,0.496277916,0.016266187,"3242, 1728, 79001, 154807",420,11,8164,-7.068398268,0.994476696,0.138102056,0.122418541,-2.821383331,0.912152799
KEGG_PATHWAY,hsa00280,"Valine, leucine and isoleucine degradation",15,1.861042184,6.88E-08,"5096, 34, 35, 36, 65985, 5095, 224, 3158, 27034, 1892, 3157, 217, 549, 56922, 4329",420,48,8164,-6.074404762,2.18E-05,2.18E-05,1.93E-05,-2.602743044,4.713970875
KEGG_PATHWAY,hsa00640,Propanoate metabolism,10,1.240694789,2.21E-05,"5096, 35, 79611, 1892, 55862, 51, 4329, 31, 32, 5095",420,32,8164,-6.074404762,0.006984509,0.001111452,9.85E-04,-2.602743044,3.006462268
KEGG_PATHWAY,hsa00061,Fatty acid biosynthesis,5,0.620347395,0.011786993,"2180, 54995, 2194, 31, 32",420,18,8164,-5.399470899,0.976685328,0.11802607,0.104622479,-2.432818043,0.980374995
KEGG_PATHWAY,hsa00900,Terpenoid backbone biosynthesis,6,0.744416873,0.0054262,"57107, 3158, 3422, 3157, 4598, 51449",420,23,8164,-5.070807453,0.821789388,0.074787193,0.06629401,-2.342215494,1.178525708
KEGG_PATHWAY,hsa00650,Butanoate metabolism,7,0.868486352,0.002077092,"35, 65985, 3158, 79944, 1892, 3157, 7915",420,27,8164,-5.039506173,0.482695201,0.034654645,0.030719102,-2.333282369,1.512591486
KEGG_PATHWAY,hsa00071,Fatty acid degradation,11,1.364764268,4.74E-05,"2180, 34, 35, 36, 224, 37, 125, 126, 1892, 217, 51",420,43,8164,-4.972535991,0.014914398,0.001502638,0.001331991,-2.313981813,2.875498581
KEGG_PATHWAY,hsa00360,Phenylalanine metabolism,4,0.496277916,0.045671286,"3242, 4128, 4129, 8639",420,16,8164,-4.85952381,0.999999633,0.263232683,0.233338751,-2.280814949,0.632013132
KEGG_PATHWAY,hsa01212,Fatty acid metabolism,13,1.612903226,2.45E-05,"2180, 34, 35, 36, 37, 9524, 3295, 2194, 51144, 54995, 1892, 51, 31",420,57,8164,-4.433249791,0.007750071,0.001111452,9.85E-04,-2.148364653,3.006462268
KEGG_PATHWAY,hsa00410,beta-Alanine metabolism,7,0.868486352,0.004342931,"35, 224, 1892, 217, 51, 4329, 8639",420,31,8164,-4.389247312,0.748347815,0.065557581,0.058112556,-2.133973561,1.235730021
KEGG_PATHWAY,hsa04923,Regulation of lipolysis in adipocytes,13,1.612903226,2.95E-05,"5592, 8660, 3991, 2771, 2770, 8471, 51099, 2773, 2167, 5346, 207, 208, 11343",420,58,8164,-4.35681445,0.009318601,0.001170269,0.001037368,-2.123273672,2.984067217
KEGG_PATHWAY,hsa04512,ECM-receptor interaction,18,2.23325062,1.81E-06,"7450, 3690, 131873, 3672, 7148, 1284, 1282, 1293, 1292, 1291, 3913, 3339, 3915, 284217, 1605, 3910, 948, 3911",420,88,8164,-3.975974026,5.75E-04,1.92E-04,1.70E-04,-1.991308332,3.769779643
KEGG_PATHWAY,hsa00100,Steroid biosynthesis,4,0.496277916,0.080050215,"1718, 7108, 1717, 3930",420,20,8164,-3.887619048,1,0.384483606,0.340819853,-1.958886854,0.467475115
KEGG_PATHWAY,hsa00620,Pyruvate metabolism,9,1.11662531,0.002422546,"224, 125, 4199, 126, 217, 5091, 31, 32, 197257",420,47,8164,-3.72218845,0.536467471,0.038397351,0.034036768,-1.896151099,1.468051681
KEGG_PATHWAY,hsa01040,Biosynthesis of unsaturated fatty acids,5,0.620347395,0.047099703,"641371, 9524, 51144, 51, 3295",420,27,8164,-3.599647266,0.999999772,0.266617961,0.23633958,-1.847855542,0.62646354
KEGG_PATHWAY,hsa04130,SNARE interactions in vesicular transport,6,0.744416873,0.025166446,"8675, 8676, 8417, 6810, 6811, 6844",420,33,8164,-3.534199134,0.999690287,0.181312802,0.160722074,-1.821383331,0.793924473
KEGG_PATHWAY,hsa04213,Longevity regulating pathway - multiple species,11,1.364764268,0.001109966,"5571, 8660, 1410, 57521, 51422, 207, 208, 23411, 847, 8471, 3480",420,62,8164,-3.448694316,0.296758206,0.023457272,0.020793355,-1.786050258,1.682075439
KEGG_PATHWAY,hsa04146,Peroxisome,14,1.736972705,2.49E-04,"2180, 8443, 7498, 1384, 5190, 3295, 215, 55825, 4598, 11001, 847, 51, 5825, 26061",420,82,8164,-3.318699187,0.075782876,0.006566538,0.005820811,-1.730617867,2.235016472
KEGG_PATHWAY,hsa00380,Tryptophan metabolism,7,0.868486352,0.019272209,"224, 56267, 1892, 217, 4128, 847, 4129",420,42,8164,-3.23968254,0.99790652,0.156648471,0.138858739,-1.695852449,0.857426782
KEGG_PATHWAY,hsa00350,Tyrosine metabolism,6,0.744416873,0.035295548,"125, 126, 3242, 4128, 4129, 8639",420,36,8164,-3.23968254,0.999988702,0.223428119,0.198054578,-1.695852449,0.703215114
KEGG_PATHWAY,hsa03320,PPAR signaling pathway,12,1.488833747,0.001430084,"2180, 34, 4199, 3158, 10580, 3157, 2167, 5346, 11001, 51, 729359, 948",420,75,8164,-3.110095238,0.364701972,0.028333537,0.025115848,-1.63695876,1.600052151
KEGG_PATHWAY,hsa04136,Autophagy - other,5,0.620347395,0.07919118,"26100, 64223, 57521, 79065, 55054",420,32,8164,-3.037202381,1,0.384483606,0.340819853,-1.602743044,0.467475115
KEGG_PATHWAY,hsa04730,Long-term depression,9,1.11662531,0.011042223,"5592, 2767, 5332, 3709, 2773, 5894, 2771, 2770, 3480",420,60,8164,-2.915714286,0.97039625,0.11802607,0.104622479,-1.543849355,0.980374995
KEGG_PATHWAY,hsa00260,"Glycine, serine and threonine metabolism",6,0.744416873,0.052232413,"4128, 4129, 6470, 8639, 63826, 1757",420,40,8164,-2.915714286,0.999999959,0.285477153,0.253057035,-1.543849355,0.596781585
KEGG_PATHWAY,hsa04910,Insulin signaling pathway,20,2.481389578,6.70E-05,"5571, 8660, 51806, 5894, 5256, 3991, 5257, 10580, 8471, 2194, 57521, 5577, 207, 51422, 10211, 208, 2319, 31, 32, 1977",420,137,8164,-2.837678137,0.02100315,0.001929649,0.001710509,-1.504710961,2.766874539
KEGG_PATHWAY,hsa05034,Alcoholism,26,3.225806452,9.36E-06,"8359, 2771, 2770, 2790, 2030, 8370, 8294, 51564, 55506, 4128, 4129, 8365, 8366, 8363, 51806, 8364, 5894, 9555, 8367, 8368, 8361, 8362, 8360, 554313, 2773, 121504",420,187,8164,-2.702622867,0.002963765,7.20E-04,6.38E-04,-1.434360208,3.195272375
