Category,Term,TermName,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,Log2E,Log10FDR
KEGG_PATHWAY,hsa03040,Spliceosome,47,5.669481303,6.65E-20,"6430, 4670, 9343, 6432, 6434, 6632, 3183, 56259, 1655, 55660, 7919, 23020, 3312, 10915, 4686, 10594, 9416, 10772, 10992, 9879, 6426, 6627, 6626, 11325, 3190, 51729, 8683, 22827, 9775, 27316, 27258, 24148, 22985, 1665, 3304, 51691, 3303, 10946, 29896, 23450, 23451, 10286, 84991, 6633, 11157, 57819, 6635",545,147,8164,4.789465144,1.97E-17,1.97E-17,1.76E-17,2.259864554,16.75448733
KEGG_PATHWAY,hsa04141,Protein processing in endoplasmic reticulum,45,5.428226779,1.82E-15,"9601, 7323, 7322, 10130, 7841, 10294, 3320, 22872, 27248, 29927, 7184, 3337, 84447, 3312, 1650, 5610, 811, 7415, 10970, 6745, 6748, 10952, 2923, 6185, 9532, 5034, 9632, 581, 6184, 10525, 1965, 56886, 23193, 3304, 201595, 3326, 3303, 821, 6238, 10484, 10483, 10961, 3309, 1603, 3703",545,171,8164,3.942056977,5.26E-13,2.70E-13,2.42E-13,1.978948629,12.61618463
KEGG_PATHWAY,hsa03050,Proteasome,18,2.171290712,2.24E-09,"9861, 5696, 5685, 5706, 5717, 5718, 5708, 5719, 5709, 5720, 10197, 5721, 5700, 5701, 5702, 5714, 5704, 5705",545,46,8164,5.861667331,6.63E-07,2.21E-07,1.98E-07,2.551311093,6.70333481
KEGG_PATHWAY,hsa05171,Coronavirus disease - COVID-19,41,4.945717732,1.84E-08,"6230, 6175, 6130, 9045, 6234, 9349, 6772, 6159, 6137, 6158, 1432, 2244, 2266, 5610, 6128, 4940, 735, 6204, 9636, 6129, 717, 718, 6122, 6187, 6124, 6201, 6222, 6189, 6203, 6125, 2243, 6160, 103, 720, 721, 4599, 6138, 6217, 5603, 3921, 629",545,232,8164,2.64729516,5.45E-06,1.36E-06,1.22E-06,1.404519057,5.913640169
KEGG_PATHWAY,hsa03010,Ribosome,30,3.618817853,4.56E-07,"6230, 6175, 6130, 9045, 6234, 9349, 6159, 6137, 6158, 65005, 6150, 6128, 6204, 11222, 6129, 6122, 6187, 6124, 6201, 6222, 6189, 6203, 6125, 63875, 6160, 6138, 9801, 6217, 3921, 29074",545,158,8164,2.844268958,1.35E-04,2.70E-05,2.42E-05,1.508057895,4.616184634
KEGG_PATHWAY,hsa05020,Prion disease,42,5.066344994,6.22E-07,"9861, 5880, 7388, 5685, 7280, 292, 5717, 5718, 5719, 203068, 1432, 3312, 735, 7417, 836, 5714, 5879, 1537, 4704, 7277, 10381, 10383, 581, 5706, 1965, 1327, 1347, 5708, 5709, 3304, 3303, 5700, 7846, 5701, 4513, 54205, 5702, 5603, 5704, 10963, 3309, 5705",545,273,8164,2.304587156,1.84E-04,2.79E-05,2.50E-05,1.204508329,4.602059991
KEGG_PATHWAY,hsa00051,Fructose and mannose metabolism,13,1.568154403,6.60E-07,"5373, 7167, 6652, 5211, 3101, 3098, 29926, 29925, 231, 226, 2762, 5214, 5208",545,33,8164,5.901139839,1.95E-04,2.79E-05,2.50E-05,2.560993646,4.602059991
KEGG_PATHWAY,hsa04145,Phagosome,28,3.377563329,2.21E-06,"929, 3122, 7280, 29927, 3916, 203068, 811, 7879, 5879, 10952, 718, 9554, 7057, 7277, 10381, 11151, 7037, 7058, 10383, 23673, 1520, 523, 821, 526, 7846, 3920, 529, 3689",545,152,8164,2.759439884,6.53E-04,8.17E-05,7.31E-05,1.464375456,4.136082623
KEGG_PATHWAY,hsa03013,Nucleocytoplasmic transport,22,2.653799759,6.97E-06,"23636, 11260, 9775, 9688, 23039, 22985, 55161, 3837, 10527, 7919, 79711, 55308, 4686, 7514, 1917, 3842, 5976, 1915, 3843, 5901, 5903, 55705",545,108,8164,3.051444105,0.002060469,2.19E-04,1.96E-04,1.609492164,3.707743929
KEGG_PATHWAY,hsa05014,Amyotrophic lateral sclerosis,48,5.790108565,7.39E-06,"9861, 9782, 6432, 7388, 5685, 9688, 7280, 5717, 5718, 5719, 310, 203068, 598, 1432, 4686, 7415, 5216, 836, 10452, 5714, 5879, 1537, 4704, 23636, 7277, 10381, 10383, 23435, 581, 5706, 1965, 1327, 1347, 5708, 5709, 5700, 7846, 5701, 4513, 10540, 54205, 5702, 5603, 11258, 5704, 3309, 5705, 5903",545,364,8164,1.975360419,0.002185393,2.19E-04,1.96E-04,0.982115908,3.707743929
KEGG_PATHWAY,hsa05016,Huntington disease,42,5.066344994,1.19E-05,"9861, 7388, 5685, 7280, 292, 3064, 5717, 5718, 5719, 203068, 1213, 7417, 836, 5714, 6648, 1537, 4704, 7277, 10381, 5430, 10383, 1173, 160, 161, 581, 163, 7052, 5706, 1327, 1347, 5708, 5709, 5700, 7846, 5701, 4513, 10540, 54205, 5702, 11258, 5704, 5705",545,306,8164,2.056053247,0.003501719,3.09E-04,2.76E-04,1.039877627,3.559090918
KEGG_PATHWAY,hsa00520,Amino sugar and nucleotide sugar metabolism,14,1.688781665,1.25E-05,"51706, 5373, 64841, 7358, 6675, 3101, 2582, 3098, 29926, 29925, 2762, 55577, 2673, 5973",545,49,8164,4.279947575,0.003698455,3.09E-04,2.76E-04,2.097593125,3.559090918
KEGG_PATHWAY,hsa05012,Parkinson disease,38,4.583835947,1.38E-05,"9861, 9246, 7388, 5685, 7280, 292, 27429, 5717, 5718, 5719, 203068, 598, 10131, 7417, 836, 7317, 5714, 1537, 4704, 7277, 10381, 10383, 581, 5706, 1965, 1327, 1347, 5708, 5709, 5700, 7846, 5701, 4513, 54205, 5702, 5704, 3309, 5705",545,266,8164,2.139973788,0.004083645,3.15E-04,2.82E-04,1.097593126,3.549750892
