Category,Term,TermName,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,Log2E,Log10FDR
KEGG_PATHWAY,hsa03040,Spliceosome,37,4.786545925,3.15E-14,"10291, 4670, 9343, 3183, 56259, 55660, 7919, 23020, 3312, 4686, 10594, 9416, 10772, 6625, 10992, 6426, 6627, 6626, 3190, 51729, 8683, 22827, 27316, 27258, 24148, 5093, 11338, 3306, 1665, 3304, 51691, 3303, 29896, 6634, 10286, 11157, 57819",466,147,8164,4.409623077,9.87E-12,9.86E-12,9.04E-12,2.140655343,11.04383157
KEGG_PATHWAY,hsa05020,Prion disease,44,5.692108668,7.31E-10,"7384, 5880, 5683, 5685, 7280, 292, 5717, 4705, 4728, 5719, 203068, 1432, 3312, 735, 7417, 836, 7416, 3710, 5714, 4702, 5879, 1537, 7277, 10381, 10383, 5706, 79861, 3306, 5708, 5709, 3304, 3303, 51079, 4698, 5700, 7846, 5701, 4513, 54205, 5702, 5603, 10963, 3309, 5705",466,273,8164,2.823625588,2.29E-07,1.14E-07,1.05E-07,1.4975488,6.978810701
KEGG_PATHWAY,hsa05012,Parkinson disease,40,5.174644243,3.65E-08,"7384, 5683, 5685, 7280, 292, 27429, 5717, 4705, 4728, 5719, 203068, 598, 10131, 7417, 836, 7317, 7416, 3710, 5714, 4702, 1537, 7332, 7277, 10381, 10383, 5706, 79861, 5708, 5709, 51079, 4698, 4137, 5700, 7846, 5701, 4513, 54205, 5702, 3309, 5705",466,266,8164,2.634483204,1.14E-05,3.80E-06,3.49E-06,1.397519982,5.457174573
KEGG_PATHWAY,hsa05014,Amyotrophic lateral sclerosis,48,6.209573092,8.04E-08,"7384, 9782, 5683, 5685, 7280, 5717, 4705, 4728, 5719, 203068, 598, 1432, 60673, 4686, 7415, 5216, 836, 10452, 5217, 7416, 3710, 5714, 4702, 5879, 1537, 23636, 7277, 10381, 10383, 23435, 5706, 79861, 5708, 5709, 51079, 4698, 5700, 7846, 5701, 4513, 10540, 54205, 5702, 5603, 11258, 3309, 5705, 5903",466,364,8164,2.310239117,2.52E-05,6.29E-06,5.77E-06,1.208042183,5.238824187
KEGG_PATHWAY,hsa03050,Proteasome,15,1.940491591,1.38E-07,"5683, 5685, 5706, 5717, 5708, 5719, 5709, 5720, 10197, 5721, 5700, 5701, 5702, 5714, 5705",466,46,8164,5.712819556,4.33E-05,8.67E-06,7.95E-06,2.514202962,5.099632871
KEGG_PATHWAY,hsa04141,Protein processing in endoplasmic reticulum,29,3.751617076,3.33E-07,"9601, 7323, 7322, 3320, 22872, 7184, 3337, 3312, 5610, 7415, 10970, 6745, 6748, 2923, 9871, 5034, 6500, 6184, 10525, 3306, 56886, 3304, 3326, 3303, 821, 10483, 10961, 3309, 1603",466,171,8164,2.971111613,1.04E-04,1.74E-05,1.59E-05,1.571002803,4.798602876
KEGG_PATHWAY,hsa05016,Huntington disease,39,5.045278137,3.92E-06,"7384, 5683, 5685, 7280, 292, 5717, 4705, 4728, 5719, 203068, 1213, 60673, 7417, 836, 7416, 5714, 4702, 1537, 7277, 10381, 5430, 10383, 160, 163, 5706, 79861, 5708, 5709, 51079, 4698, 5700, 7846, 5701, 4513, 10540, 54205, 5702, 11258, 5705",466,306,8164,2.232853656,0.001226228,1.67E-04,1.53E-04,1.158888698,3.815308569
KEGG_PATHWAY,hsa05132,Salmonella infection,34,4.398447607,4.26E-06,"10094, 10096, 29108, 3320, 7280, 7184, 375, 203068, 60412, 51143, 1432, 998, 5216, 836, 5217, 4646, 5879, 7277, 10381, 10383, 6500, 64746, 2317, 23191, 79861, 2316, 79026, 3326, 7846, 10540, 54205, 5603, 11258, 2318",466,249,8164,2.392195391,0.001334052,1.67E-04,1.53E-04,1.258335232,3.815308569
KEGG_PATHWAY,hsa05022,Pathways of neurodegeneration - multiple diseases,51,6.59767141,1.50E-05,"7280, 1020, 4728, 203068, 598, 60673, 1452, 10131, 7317, 836, 10452, 3710, 1537, 7332, 10381, 10383, 5706, 5708, 5709, 4137, 4698, 7846, 5700, 10540, 54205, 5701, 5702, 5705, 7384, 5683, 5685, 292, 27429, 5717, 4705, 5719, 1432, 7415, 7417, 7416, 5714, 4702, 5879, 7277, 23435, 79861, 51079, 4513, 5603, 11258, 3309",466,476,8164,1.877069283,0.004692908,5.23E-04,4.79E-04,0.908481901,3.319664487
KEGG_PATHWAY,hsa04612,Antigen processing and presentation,16,2.069857697,2.70E-05,"3122, 3320, 3306, 3304, 3326, 3303, 972, 3312, 821, 5720, 10197, 5721, 4802, 3309, 2923, 3308",466,78,8164,3.593705293,0.008419393,8.45E-04,7.75E-04,1.845472103,3.110698297
KEGG_PATHWAY,hsa05130,Pathogenic Escherichia coli infection,27,3.492884864,4.84E-05,"4691, 10094, 9368, 10096, 29108, 7280, 4629, 375, 203068, 1432, 4642, 998, 836, 4646, 5879, 4627, 7277, 7430, 9871, 10381, 10383, 23191, 79861, 2017, 7846, 54205, 5603",466,197,8164,2.401124159,0.015024214,0.001376169,0.001261854,1.263710005,2.898990891
KEGG_PATHWAY,hsa05017,Spinocerebellar ataxia,21,2.716688228,1.62E-04,"5683, 5685, 10939, 292, 5706, 5717, 5708, 5719, 5709, 10528, 60673, 5700, 7417, 5701, 7416, 54205, 3710, 5702, 4976, 5714, 5705",466,143,8164,2.57276629,0.049359558,0.00421794,0.003867568,1.363320409,2.412562042
KEGG_PATHWAY,hsa01200,Carbon metabolism,18,2.328589909,2.54E-04,"5230, 7167, 4200, 113675, 25796, 3098, 4191, 2746, 2203, 2026, 84532, 226, 8803, 5634, 5315, 6888, 2806, 3418",466,115,8164,2.742153387,0.076319549,0.006106079,0.005598865,1.455309273,2.251900004
KEGG_PATHWAY,hsa05134,Legionellosis,12,1.552393273,3.08E-04,"375, 3306, 3304, 3303, 3312, 7415, 29108, 1937, 836, 1915, 54205, 718",466,57,8164,3.688276485,0.092011067,0.006893443,0.006320825,1.882946809,2.199226233
KEGG_PATHWAY,hsa00520,Amino sugar and nucleotide sugar metabolism,11,1.423027167,3.59E-04,"51706, 54187, 5373, 55577, 64841, 7358, 2673, 5973, 3098, 29926, 29925",466,49,8164,3.932907068,0.106307434,0.007491551,0.00686925,1.975596097,2.163090678
KEGG_PATHWAY,hsa04144,Endocytosis,29,3.751617076,4.66E-04,"10094, 9525, 10096, 55040, 375, 377, 51100, 378, 1213, 3312, 832, 58533, 84364, 998, 128866, 8729, 10015, 5119, 9135, 8027, 160, 7251, 163, 27131, 3306, 3304, 84313, 3303, 55737",466,251,8164,2.024143768,0.13587214,0.00912503,0.00836704,1.017311763,2.077428155
KEGG_PATHWAY,hsa05010,Alzheimer disease,39,5.045278137,5.54E-04,"7384, 5683, 5685, 7280, 1020, 292, 8471, 5717, 4705, 4728, 5719, 203068, 60673, 1452, 5610, 7417, 836, 7416, 3710, 5714, 4702, 1537, 7277, 10381, 10383, 5706, 79861, 5708, 5709, 51079, 4698, 4137, 5700, 7846, 5701, 4513, 54205, 5702, 5705",466,384,8164,1.779305258,0.159219806,0.010198646,0.009351474,0.831314041,2.029119929
KEGG_PATHWAY,hsa03250,Viral life cycle - HIV-1,12,1.552393273,7.55E-04,"11052, 1025, 25939, 9525, 51497, 7514, 128866, 10015, 25920, 5901, 7251, 5903",466,63,8164,3.337012058,0.210659455,0.012458143,0.011423281,1.7385569,1.94220914
KEGG_PATHWAY,hsa01100,Metabolic pathways,116,15.00646831,7.56E-04,"7167, 23729, 5147, 9061, 191, 471, 2548, 353, 4728, 2026, 4048, 8803, 2947, 10135, 84284, 10380, 64841, 18, 29956, 3098, 523, 55577, 644, 2673, 9, 526, 4698, 529, 10423, 6652, 126792, 4191, 29926, 29925, 56954, 3939, 2203, 2720, 60496, 55748, 79717, 5315, 6888, 80142, 3418, 36, 134147, 7358, 3155, 1890, 5050, 2181, 5049, 8833, 4513, 2739, 47, 8050, 64754, 81889, 2746, 5973, 4522, 5336, 52, 2628, 1537, 64087, 3291, 5230, 25796, 23410, 93100, 50484, 51056, 203, 204, 54205, 2879, 7384, 9562, 373156, 113675, 6697, 79077, 4705, 178, 1312, 22929, 5634, 4942, 2806, 4668, 4702, 4548, 4282, 131870, 5373, 5498, 6184, 10327, 54187, 1841, 1962, 587, 10606, 84532, 622, 226, 51079, 10728, 51477, 4830, 4831, 2936, 1603",466,1540,8164,1.319636587,0.210846373,0.012458143,0.011423281,0.400140682,1.94220914
KEGG_PATHWAY,hsa05131,Shigellosis,28,3.62225097,8.04E-04,"7323, 7322, 10094, 10096, 29108, 375, 598, 1432, 831, 998, 5336, 5216, 5217, 7416, 3710, 5879, 718, 7334, 6500, 7335, 3098, 7094, 2017, 81, 54205, 11335, 5603, 87",466,247,8164,1.98599503,0.222550233,0.012581752,0.011536622,0.989862012,1.937921337
KEGG_PATHWAY,hsa01250,Biosynthesis of nucleotide sugars,9,1.164294955,9.30E-04,"54187, 5373, 55577, 64841, 7358, 2673, 3098, 29926, 29925",466,37,8164,4.261454588,0.252600193,0.013858078,0.012706928,2.091345958,1.895959431
KEGG_PATHWAY,hsa03015,mRNA surveillance pathway,15,1.940491591,0.001112308,"11052, 11051, 10284, 5499, 124540, 26986, 23435, 7919, 10914, 1477, 4686, 5976, 5528, 5518, 5529",466,97,8164,2.709172161,0.294145555,0.015270043,0.014001605,1.437852076,1.853822178
KEGG_PATHWAY,hsa03013,Nucleocytoplasmic transport,16,2.069857697,0.00112208,"23636, 10284, 23039, 3837, 10527, 7919, 79711, 30000, 4686, 7514, 3842, 5976, 1915, 3843, 5901, 5903",466,108,8164,2.595453823,0.296303547,0.015270043,0.014001605,1.37598682,1.853822178
KEGG_PATHWAY,hsa00051,Fructose and mannose metabolism,8,1.034928849,0.002176284,"5373, 7167, 2203, 6652, 226, 3098, 29926, 29925",466,33,8164,4.247106256,0.494354313,0.028382366,0.026024725,2.086480203,1.584613851
