Category,Term,TermName,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,Log2E,Log10FDR
KEGG_PATHWAY,hsa05171,Coronavirus disease - COVID-19,41,9.192825112,5.91E-15,"6230, 6175, 6130, 9045, 6231, 6234, 9349, 6158, 6235, 6191, 1432, 51121, 4940, 6204, 9636, 6207, 6129, 6208, 717, 718, 6164, 6122, 6188, 6187, 6124, 6201, 6222, 6189, 6203, 6125, 6202, 2243, 6160, 720, 721, 6138, 6218, 6217, 3921, 629, 4736",339,232,8164,4.255975994,1.70E-12,1.71E-12,1.52E-12,2.089490013,11.81815641
KEGG_PATHWAY,hsa03010,Ribosome,33,7.399103139,3.47E-14,"6230, 6175, 6130, 9045, 6231, 6234, 9349, 6158, 6235, 6191, 51121, 6204, 6207, 6129, 6208, 6164, 6122, 6188, 6187, 6124, 6201, 6222, 6189, 6203, 6125, 6202, 6160, 6138, 6218, 6217, 3921, 29074, 4736",339,158,8164,5.029909264,1.00E-11,5.02E-12,4.46E-12,2.330532375,11.35066514
KEGG_PATHWAY,hsa04141,Protein processing in endoplasmic reticulum,29,6.502242152,3.03E-10,"7323, 7322, 10130, 7841, 10294, 10808, 3320, 7184, 3337, 3312, 811, 7415, 10970, 6748, 2923, 5034, 581, 6184, 10525, 1965, 81567, 56886, 3326, 821, 823, 10961, 10960, 3309, 1603",339,171,8164,4.084182925,8.76E-08,2.92E-08,2.60E-08,2.030047484,7.585026652
KEGG_PATHWAY,hsa03050,Proteasome,15,3.3632287,2.40E-09,"9861, 5683, 5696, 5685, 5706, 5717, 5718, 5708, 5719, 5709, 5698, 5720, 5721, 5714, 5705",339,46,8164,7.853020392,6.93E-07,1.73E-07,1.54E-07,2.973247643,6.812479279
KEGG_PATHWAY,hsa05130,Pathogenic Escherichia coli infection,28,6.278026906,3.39E-08,"4691, 10092, 10095, 10094, 5861, 10097, 10096, 29108, 7280, 4629, 375, 203068, 1432, 4642, 998, 10972, 4646, 5879, 4627, 6188, 7277, 7430, 10381, 10383, 581, 23191, 10109, 2017",339,197,8164,3.422907027,9.80E-06,1.96E-06,1.74E-06,1.775222106,5.759450752
KEGG_PATHWAY,hsa04145,Phagosome,24,5.381165919,5.73E-08,"929, 7277, 7057, 10381, 11151, 7037, 10383, 3122, 23673, 7280, 3916, 203068, 1520, 523, 821, 3685, 811, 526, 7879, 3689, 3920, 529, 5879, 718",339,152,8164,3.802515137,1.66E-05,2.76E-06,2.45E-06,1.926953991,5.610833916
KEGG_PATHWAY,hsa05132,Salmonella infection,30,6.726457399,3.83E-07,"929, 10092, 10095, 10094, 10097, 10096, 29108, 3320, 7280, 7184, 375, 203068, 1432, 998, 7879, 5216, 4646, 5879, 6188, 7277, 10381, 10383, 581, 7295, 2317, 23191, 2316, 10109, 3326, 1785",339,249,8164,2.901517575,1.11E-04,1.58E-05,1.41E-05,1.536807668,4.850780887
KEGG_PATHWAY,hsa04612,Antigen processing and presentation,15,3.3632287,3.06E-06,"3122, 3320, 10437, 3326, 972, 1520, 3312, 567, 821, 811, 5720, 5721, 3309, 2923, 3308",339,78,8164,4.631268437,8.85E-04,1.11E-04,9.84E-05,2.211407381,4.007004902
KEGG_PATHWAY,hsa00520,Amino sugar and nucleotide sugar metabolism,12,2.69058296,3.69E-06,"51706, 54187, 55276, 5373, 55577, 2762, 7358, 2673, 5973, 2582, 29926, 29925",339,49,8164,5.89777858,0.001065587,1.18E-04,1.05E-04,2.56017166,3.978810701
KEGG_PATHWAY,hsa00051,Fructose and mannose metabolism,10,2.242152466,5.13E-06,"231, 5373, 7167, 2203, 5211, 226, 2762, 5214, 29926, 29925",339,33,8164,7.297756324,0.001482478,1.48E-04,1.32E-04,2.867452979,3.879426069
