Category,Term,TermName,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,Log2E,Log10FDR
KEGG_PATHWAY,hsa05171,Coronavirus disease - COVID-19,33,7.894736842,2.20E-10,"6230, 6175, 6130, 9045, 6234, 9349, 6158, 1432, 2244, 2266, 4940, 735, 6204, 9636, 6129, 717, 718, 6122, 6187, 6124, 6201, 6222, 6189, 6203, 6125, 2243, 6160, 720, 721, 6138, 6217, 3921, 629",315,232,8164,3.686535304,6.04E-08,6.04E-08,5.36E-08,1.882265573,7.27083521
KEGG_PATHWAY,hsa04145,Phagosome,25,5.980861244,2.89E-09,"929, 3122, 7280, 3916, 203068, 811, 7879, 5879, 718, 7057, 7277, 10381, 11151, 7037, 7058, 10383, 23673, 1520, 523, 821, 526, 7846, 3920, 529, 3689",315,152,8164,4.262740184,7.96E-07,3.98E-07,3.53E-07,2.091781125,6.452225295
KEGG_PATHWAY,hsa04141,Protein processing in endoplasmic reticulum,26,6.220095694,6.86E-09,"7323, 7322, 10130, 7841, 10294, 3320, 7184, 3337, 3312, 811, 7415, 10970, 6748, 2923, 5034, 581, 6184, 10525, 1965, 56886, 23193, 3326, 821, 10961, 3309, 1603",315,171,8164,3.940666481,1.89E-06,6.29E-07,5.58E-07,1.978439652,6.253365801
KEGG_PATHWAY,hsa03050,Proteasome,13,3.110047847,1.02E-07,"9861, 5696, 5685, 5706, 5717, 5718, 5708, 5719, 5709, 5720, 5721, 5714, 5705",315,46,8164,7.324499655,2.81E-05,7.01E-06,6.22E-06,2.872730211,5.206209615
KEGG_PATHWAY,hsa03010,Ribosome,22,5.263157895,5.96E-07,"6230, 6175, 6130, 6122, 9045, 6187, 6124, 6201, 6234, 9349, 6189, 6222, 6203, 6125, 6158, 6160, 6138, 6204, 6217, 6129, 3921, 29074",315,158,8164,3.608760297,1.64E-04,3.28E-05,2.91E-05,1.851503319,4.536107011
KEGG_PATHWAY,hsa05130,Pathogenic Escherichia coli infection,24,5.741626794,1.76E-06,"7277, 4691, 7430, 10381, 10094, 10383, 10097, 9368, 10096, 7280, 581, 23191, 4629, 375, 2017, 203068, 1432, 2597, 4642, 998, 7846, 4646, 5879, 4627",315,197,8164,3.157457095,4.85E-04,7.17E-05,6.36E-05,1.65876313,4.196542884
KEGG_PATHWAY,hsa05020,Prion disease,29,6.937799043,1.83E-06,"9861, 5880, 5685, 7280, 292, 5717, 5718, 5719, 203068, 1432, 3312, 735, 7417, 5714, 5879, 7277, 10381, 10383, 581, 5706, 1965, 1327, 1347, 5708, 5709, 7846, 4513, 3309, 5705",315,273,8164,2.75313681,5.02E-04,7.17E-05,6.36E-05,1.461076303,4.196542884
KEGG_PATHWAY,hsa00051,Fructose and mannose metabolism,10,2.392344498,2.80E-06,"231, 5373, 7167, 6652, 5211, 226, 2762, 5214, 29926, 29925",315,33,8164,7.853775854,7.70E-04,9.49E-05,8.42E-05,2.973386424,4.074687909
KEGG_PATHWAY,hsa05132,Salmonella infection,27,6.459330144,3.10E-06,"929, 10094, 10097, 10096, 3320, 7280, 7184, 375, 203068, 1432, 998, 7879, 5216, 4646, 5879, 7277, 10381, 10383, 581, 2317, 23191, 2316, 3326, 1785, 2597, 7846, 10540",315,249,8164,2.810327022,8.53E-04,9.49E-05,8.42E-05,1.490738019,4.074687909
KEGG_PATHWAY,hsa01230,Biosynthesis of amino acids,14,3.349282297,4.63E-06,"6472, 5230, 7167, 5211, 5223, 2023, 226, 2597, 5214, 5634, 5315, 6888, 2805, 3418",315,75,8164,4.837925926,0.001272476,1.27E-04,1.13E-04,2.27438868,3.946921557
