Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04512:ECM-receptor interaction	15	5.474452554744526	3.8419064360118455E-8	7450, 3690, 3672, 7148, 1284, 1282, 1291, 3913, 3339, 3915, 284217, 1605, 3910, 948, 3911	144	50	2981	6.210416666666667	9.796813614570965E-6	9.796861411830207E-6	9.566347025669495E-6
KEGG_PATHWAY	hsa05146:Amoebiasis	11	4.014598540145985	2.9207743023585786E-4	3913, 5273, 3915, 5332, 284217, 1284, 6317, 1282, 3910, 3911, 383	144	57	2981	3.9950048732943477	0.07178382279930651	0.037239872355071875	0.0363636400643643
KEGG_PATHWAY	hsa04510:Focal adhesion	16	5.839416058394161	4.7833203671198565E-4	7450, 3690, 5894, 3672, 7148, 2909, 1284, 1282, 8394, 1291, 3913, 3915, 284217, 5159, 3910, 3911	144	120	2981	2.7601851851851853	0.11485504007641811	0.04065822312051878	0.03970155904709481
KEGG_PATHWAY	hsa04974:Protein digestion and absorption	7	2.5547445255474455	0.002085083471023782	1359, 80781, 1284, 5645, 1282, 1291, 1306	144	29	2981	4.996886973180076	0.4127187087083152	0.12112270029280046	0.11827275440355811
KEGG_PATHWAY	hsa03320:PPAR signaling pathway	8	2.9197080291970803	0.003311668242829042	2180, 3158, 10580, 3157, 2167, 5346, 11001, 948	144	42	2981	3.943121693121693	0.570819116026808	0.12112270029280046	0.11827275440355811
KEGG_PATHWAY	hsa05412:Arrhythmogenic right ventricular cardiomyopathy	7	2.5547445255474455	0.003531890338508703	781, 1832, 3728, 3690, 284217, 3672, 1605	144	32	2981	4.528428819444445	0.5943344624244931	0.12112270029280046	0.11827275440355811
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	15	5.474452554744526	0.0036844359527236988	7450, 3690, 5894, 3672, 7148, 1284, 2790, 1282, 1291, 3913, 3915, 284217, 5159, 3910, 3911	144	132	2981	2.352430555555556	0.6098664850165729	0.12112270029280046	0.11827275440355811
KEGG_PATHWAY	hsa05150:Staphylococcus aureus infection	8	2.9197080291970803	0.003799927852323152	3858, 54474, 3881, 3860, 3861, 1828, 3857, 3868	144	43	2981	3.8514211886304905	0.6212304512460105	0.12112270029280046	0.11827275440355811
KEGG_PATHWAY	hsa05165:Human papillomavirus infection	16	5.839416058394161	0.005325295187505822	50617, 7450, 3690, 5894, 3672, 7148, 1284, 1282, 1291, 3913, 3915, 56288, 284217, 5159, 3910, 3911	144	152	2981	2.1790935672514617	0.7437441460039991	0.1508833636459983	0.14733316685432776
KEGG_PATHWAY	hsa04915:Estrogen signaling pathway	9	3.2846715328467155	0.009496888675277667	3858, 54474, 5332, 5894, 3881, 3860, 3861, 3857, 3868	144	63	2981	2.9573412698412698	0.9122513919184247	0.24217066121958053	0.2364725280144139
KEGG_PATHWAY	hsa00350:Tyrosine metabolism	5	1.824817518248175	0.011201537822188069	125, 126, 3242, 4128, 8639	144	19	2981	5.447733918128655	0.9434432442118417	0.2596720131507234	0.2535620834295299
KEGG_PATHWAY	hsa04923:Regulation of lipolysis in adipocytes	5	1.824817518248175	0.022058575004576416	8660, 3991, 2167, 5346, 11343	144	23	2981	4.50030193236715	0.9966133138170564	0.46874471884724883	0.4577154313449606
KEGG_PATHWAY	hsa00982:Drug metabolism - cytochrome P450	5	1.824817518248175	0.025509409353860833	2944, 125, 126, 4257, 4128	144	24	2981	4.312789351851852	0.9986250061096762	0.5003768757872702	0.4886033022393344
KEGG_PATHWAY	hsa00620:Pyruvate metabolism	6	2.18978102189781	0.029907812214186393	125, 126, 217, 5091, 32, 197257	144	37	2981	3.3569819819819817	0.9995661727422765	0.5192895330782992	0.507070955829398
KEGG_PATHWAY	hsa05222:Small cell lung cancer	7	2.5547445255474455	0.03054644312225289	3913, 3915, 284217, 1284, 1282, 3910, 3911	144	50	2981	2.8981944444444445	0.999633235630125	0.5192895330782992	0.507070955829398
KEGG_PATHWAY	hsa05200:Pathways in cancer	16	5.839416058394161	0.03753189672143241	5332, 5894, 23365, 1284, 2790, 1282, 2944, 3913, 3915, 3728, 284217, 4257, 5159, 5898, 3910, 3911	144	191	2981	1.734147760325771	0.9999419879592103	0.5890866715907174	0.5752258087297594
KEGG_PATHWAY	hsa04146:Peroxisome	7	2.5547445255474455	0.03927244477271449	2180, 8443, 7498, 55825, 11001, 847, 26061	144	53	2981	2.7341457023060793	0.9999634352150376	0.5890866715907174	0.5752258087297594
KEGG_PATHWAY	hsa04072:Phospholipase D signaling pathway	7	2.5547445255474455	0.04250017989058496	5332, 5894, 5159, 6237, 5898, 8394, 10555	144	54	2981	2.683513374485597	0.9999844986769508	0.5927863740681903	0.578838459384233
KEGG_PATHWAY	hsa00562:Inositol phosphate metabolism	6	2.18978102189781	0.0441683964991985	8871, 8897, 5298, 5332, 8394, 64419	144	41	2981	3.029471544715447	0.9999900630432396	0.5927863740681903	0.578838459384233
KEGG_PATHWAY	hsa00071:Fatty acid degradation	5	1.824817518248175	0.06437345351345412	2180, 35, 125, 126, 217	144	32	2981	3.234592013888889	0.9999999572292801	0.8004752301786402	0.7816405188803194
KEGG_PATHWAY	hsa00360:Phenylalanine metabolism	3	1.094890510948905	0.06592148954412332	3242, 4128, 8639	144	9	2981	6.900462962962962	0.9999999719610276	0.8004752301786402	0.7816405188803194
KEGG_PATHWAY	hsa05414:Dilated cardiomyopathy	5	1.824817518248175	0.07063573941975773	781, 3690, 284217, 3672, 1605	144	33	2981	3.1365740740740744	0.9999999922834767	0.8187324341835556	0.7994681416145307
KEGG_PATHWAY	hsa04070:Phosphatidylinositol signaling system	6	2.18978102189781	0.07750867413299684	8871, 8897, 5298, 5332, 8394, 64419	144	48	2981	2.587673611111111	0.9999999988375233	0.8593353001701823	0.839115646048531
KEGG_PATHWAY	hsa05410:Hypertrophic cardiomyopathy	5	1.824817518248175	0.08405882305982514	781, 3690, 284217, 3672, 1605	144	35	2981	2.95734126984127	0.9999999998110992	0.893124995010642	0.8721102892456858
