Category,Term,TermName,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,Log2E,Log10FDR
KEGG_PATHWAY,hsa00360,Phenylalanine metabolism,3,1.094890511,0.06592149,"3242, 4128, 8639",144,9,2981,6.900462963,0.999999972,0.80047523,0.781640519,-2.786693158,0.106992936
KEGG_PATHWAY,hsa04512,ECM-receptor interaction,15,5.474452555,3.84E-08,"7450, 3690, 3672, 7148, 1284, 1282, 1291, 3913, 3339, 3915, 284217, 1605, 3910, 948, 3911",144,50,2981,6.210416667,9.80E-06,9.80E-06,9.57E-06,-2.634690064,5.019253869
KEGG_PATHWAY,hsa00350,Tyrosine metabolism,5,1.824817518,0.011201538,"125, 126, 3242, 4128, 8639",144,19,2981,5.447733918,0.943443244,0.259672013,0.253562083,-2.44565624,0.595915688
KEGG_PATHWAY,hsa04974,Protein digestion and absorption,7,2.554744526,0.002085083,"1359, 80781, 1284, 5645, 1282, 1291, 1306",144,29,2981,4.996886973,0.412718709,0.1211227,0.118272754,-2.321029585,0.927115289
KEGG_PATHWAY,hsa05412,Arrhythmogenic right ventricular cardiomyopathy,7,2.554744526,0.00353189,"781, 1832, 3728, 3690, 284217, 3672, 1605",144,32,2981,4.528428819,0.594334462,0.1211227,0.118272754,-2.179010581,0.927115289
KEGG_PATHWAY,hsa04923,Regulation of lipolysis in adipocytes,5,1.824817518,0.022058575,"8660, 3991, 2167, 5346, 11343",144,23,2981,4.500301932,0.996613314,0.468744719,0.457715431,-2.170021797,0.339404446
KEGG_PATHWAY,hsa00982,Drug metabolism - cytochrome P450,5,1.824817518,0.025509409,"2944, 125, 126, 4257, 4128",144,24,2981,4.312789352,0.998625006,0.500376876,0.488603302,-2.108621253,0.311043602
KEGG_PATHWAY,hsa05146,Amoebiasis,11,4.01459854,2.92E-04,"3913, 5273, 3915, 5332, 284217, 1284, 6317, 1282, 3910, 3911, 383",144,57,2981,3.995004873,0.071783823,0.037239872,0.03636364,-1.998197263,1.43933265
KEGG_PATHWAY,hsa03320,PPAR signaling pathway,8,2.919708029,0.003311668,"2180, 3158, 10580, 3157, 2167, 5346, 11001, 948",144,42,2981,3.943121693,0.570819116,0.1211227,0.118272754,-1.979338236,0.927115289
KEGG_PATHWAY,hsa05150,Staphylococcus aureus infection,8,2.919708029,0.003799928,"3858, 54474, 3881, 3860, 3861, 1828, 3857, 3868",144,43,2981,3.851421189,0.621230451,0.1211227,0.118272754,-1.945390904,0.927115289
KEGG_PATHWAY,hsa00620,Pyruvate metabolism,6,2.189781022,0.029907812,"125, 126, 217, 5091, 32, 197257",144,37,2981,3.356981982,0.999566173,0.519289533,0.507070956,-1.747164794,0.294931264
KEGG_PATHWAY,hsa00071,Fatty acid degradation,5,1.824817518,0.064373454,"2180, 35, 125, 126, 217",144,32,2981,3.234592014,0.999999957,0.80047523,0.781640519,-1.693583753,0.106992936
KEGG_PATHWAY,hsa05414,Dilated cardiomyopathy,5,1.824817518,0.070635739,"781, 3690, 284217, 3672, 1605",144,33,2981,3.136574074,0.999999992,0.818732434,0.799468142,-1.649189634,0.097198838
KEGG_PATHWAY,hsa00562,Inositol phosphate metabolism,6,2.189781022,0.044168396,"8871, 8897, 5298, 5332, 8394, 64419",144,41,2981,3.029471545,0.999990063,0.592786374,0.578838459,-1.599066155,0.237442621
KEGG_PATHWAY,hsa04915,Estrogen signaling pathway,9,3.284671533,0.009496889,"3858, 54474, 5332, 5894, 3881, 3860, 3861, 3857, 3868",144,63,2981,2.95734127,0.912251392,0.242170661,0.236472528,-1.564300736,0.626219306
KEGG_PATHWAY,hsa05410,Hypertrophic cardiomyopathy,5,1.824817518,0.084058823,"781, 3690, 284217, 3672, 1605",144,35,2981,2.95734127,1,0.893124995,0.872110289,-1.564300736,0.05942859
KEGG_PATHWAY,hsa05222,Small cell lung cancer,7,2.554744526,0.030546443,"3913, 3915, 284217, 1284, 1282, 3910, 3911",144,50,2981,2.898194444,0.999633236,0.519289533,0.507070956,-1.535154391,0.294931264
KEGG_PATHWAY,hsa04510,Focal adhesion,16,5.839416058,4.78E-04,"7450, 3690, 5894, 3672, 7148, 2909, 1284, 1282, 8394, 1291, 3913, 3915, 284217, 5159, 3910, 3911",144,120,2981,2.760185185,0.11485504,0.040658223,0.039701559,-1.464765063,1.401192439
KEGG_PATHWAY,hsa04146,Peroxisome,7,2.554744526,0.039272445,"2180, 8443, 7498, 55825, 11001, 847, 26061",144,53,2981,2.734145702,0.999963435,0.589086672,0.575225809,-1.451090126,0.240161637
KEGG_PATHWAY,hsa04072,Phospholipase D signaling pathway,7,2.554744526,0.04250018,"5332, 5894, 5159, 6237, 5898, 8394, 10555",144,54,2981,2.683513374,0.999984499,0.592786374,0.578838459,-1.424123078,0.237442621
KEGG_PATHWAY,hsa04070,Phosphatidylinositol signaling system,6,2.189781022,0.077508674,"8871, 8897, 5298, 5332, 8394, 64419",144,48,2981,2.587673611,0.999999999,0.8593353,0.839115646,-1.371655659,0.076178181
KEGG_PATHWAY,hsa04151,PI3K-Akt signaling pathway,15,5.474452555,0.003684436,"7450, 3690, 5894, 3672, 7148, 1284, 2790, 1282, 1291, 3913, 3915, 284217, 5159, 3910, 3911",144,132,2981,2.352430556,0.609866485,0.1211227,0.118272754,-1.234152135,0.927115289
