Category,Term,TermName,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,Log2E,Log10FDR
KEGG_PATHWAY,hsa04612,Antigen processing and presentation,9,13.23529412,2.58E-08,"3304, 3326, 3303, 3312, 5720, 811, 3320, 3309, 2923",53,78,8164,17.77358491,3.18E-06,3.18E-06,2.81E-06,4.151662795,5.55129368
KEGG_PATHWAY,hsa04141,Protein processing in endoplasmic reticulum,10,14.70588235,1.07E-06,"3304, 3326, 3303, 5034, 3312, 811, 3320, 3309, 7184, 2923",53,171,8164,9.008054728,1.31E-04,6.56E-05,5.82E-05,3.171215592,4.235077015
KEGG_PATHWAY,hsa00010,Glycolysis / Gluconeogenesis,7,10.29411765,3.68E-06,"10327, 5230, 7167, 3939, 226, 5223, 5315",53,67,8164,16.09349479,4.53E-04,1.51E-04,1.34E-04,4.008405744,3.872895202
KEGG_PATHWAY,hsa01230,Biosynthesis of amino acids,7,10.29411765,7.15E-06,"5230, 7167, 226, 5223, 5315, 6888, 7086",53,75,8164,14.37685535,8.79E-04,1.79E-04,1.58E-04,3.845676244,3.801342913
KEGG_PATHWAY,hsa01200,Carbon metabolism,8,11.76470588,7.26E-06,"5230, 7167, 226, 5223, 5315, 6888, 4191, 7086",53,115,8164,10.71566858,8.93E-04,1.79E-04,1.58E-04,3.421649961,3.801342913
KEGG_PATHWAY,hsa04510,Focal adhesion,9,13.23529412,3.49E-05,"2317, 2316, 7057, 2335, 81, 7094, 3371, 87, 2318",53,201,8164,6.897212053,0.004279412,7.15E-04,6.33E-04,2.786013323,3.19859629
KEGG_PATHWAY,hsa00620,Pyruvate metabolism,5,7.352941176,2.13E-04,"10327, 3939, 5315, 2739, 4191",53,47,8164,16.38699318,0.025889262,0.003456416,0.003063003,4.034479256,2.513852578
KEGG_PATHWAY,hsa04915,Estrogen signaling pathway,7,10.29411765,2.25E-04,"3304, 3326, 3303, 3312, 3320, 1509, 7184",53,138,8164,7.81350834,0.027275553,0.003456416,0.003063003,2.965970478,2.513852578
KEGG_PATHWAY,hsa05205,Proteoglycans in cancer,8,11.76470588,2.91E-04,"2317, 2316, 7057, 7430, 2335, 4478, 8826, 2318",53,205,8164,6.011228716,0.035202048,0.003981262,0.00352811,2.587659913,2.452457883
KEGG_PATHWAY,hsa04810,Regulation of actin cytoskeleton,8,11.76470588,4.23E-04,"7430, 2335, 81, 4478, 5216, 8826, 4627, 87",53,218,8164,5.652760949,0.050732059,0.005205316,0.004612841,2.498955688,2.336031515
KEGG_PATHWAY,hsa05132,Salmonella infection,8,11.76470588,9.35E-04,"2317, 2316, 79026, 3326, 3320, 5216, 7184, 2318",53,249,8164,4.949003561,0.108634859,0.010449762,0.009260358,2.30713808,2.033372223
KEGG_PATHWAY,hsa04151,PI3K-Akt signaling pathway,9,13.23529412,0.00163165,"7057, 3326, 2335, 7534, 3320, 7529, 3371, 10971, 7184",53,354,8164,3.916213623,0.181970447,0.016716821,0.014814094,1.969459464,1.829324904
KEGG_PATHWAY,hsa05203,Viral carcinogenesis,7,10.29411765,0.001766819,"7534, 81, 5315, 7529, 10971, 718, 87",53,204,8164,5.285608583,0.195481152,0.016716821,0.014814094,2.402069593,1.829324904
KEGG_PATHWAY,hsa05417,Lipid and atherosclerosis,7,10.29411765,0.002304612,"3304, 3326, 3303, 3312, 3320, 3309, 7184",53,215,8164,5.015182097,0.24707863,0.020247667,0.017943054,2.326302085,1.746103636
KEGG_PATHWAY,hsa04530,Tight junction,6,8.823529412,0.004244335,"7430, 81, 4478, 4637, 4627, 87",53,169,8164,5.468795356,0.407357678,0.034803547,0.030842167,2.451223077,1.510855116
KEGG_PATHWAY,hsa05134,Legionellosis,4,5.882352941,0.005597794,"3304, 3303, 3312, 718",53,57,8164,10.80966567,0.498656081,0.043033038,0.038134968,3.434249998,1.418676614
KEGG_PATHWAY,hsa00030,Pentose phosphate pathway,3,4.411764706,0.015446612,"226, 6888, 7086",53,30,8164,15.40377358,0.852622786,0.11176078,0.099040041,3.945211917,1.004189189
KEGG_PATHWAY,hsa00051,Fructose and mannose metabolism,3,4.411764706,0.018523056,"231, 7167, 226",53,33,8164,14.00343053,0.899711172,0.126574214,0.112167393,3.807708394,0.950133374
KEGG_PATHWAY,hsa05146,Amoebiasis,4,5.882352941,0.02690237,"5052, 2335, 81, 87",53,102,8164,6.040695523,0.965066748,0.174157449,0.15433465,2.59471467,0.811536559
KEGG_PATHWAY,hsa04670,Leukocyte transendothelial migration,4,5.882352941,0.035736097,"7430, 81, 4478, 87",53,114,8164,5.404832837,0.98862119,0.219776996,0.194761728,2.434249998,0.710496381
KEGG_PATHWAY,hsa04010,MAPK signaling pathway,6,8.823529412,0.038311963,"2317, 2316, 3304, 3303, 3312, 2318",53,294,8164,3.143627262,0.991811426,0.224398642,0.198857333,1.652430168,0.701458389
KEGG_PATHWAY,hsa05418,Fluid shear stress and atherosclerosis,4,5.882352941,0.058332645,"3326, 9446, 3320, 7184",53,139,8164,4.4327406,0.999384264,0.302645417,0.268197971,2.14819894,0.571544512
KEGG_PATHWAY,hsa05162,Measles,4,5.882352941,0.058332645,"3304, 3303, 3312, 4478",53,139,8164,4.4327406,0.999384264,0.302645417,0.268197971,2.14819894,0.571544512
KEGG_PATHWAY,hsa04213,Longevity regulating pathway - multiple species,3,4.411764706,0.059052764,"3304, 3303, 3312",53,62,8164,7.453438831,0.999439561,0.302645417,0.268197971,2.897906203,0.571544512
KEGG_PATHWAY,hsa05131,Shigellosis,5,7.352941176,0.071585086,"81, 5216, 7094, 718, 87",53,247,8164,3.11817279,0.999892284,0.34109291,0.302269327,1.640700876,0.519605921
KEGG_PATHWAY,hsa05230,Central carbon metabolism in cancer,3,4.411764706,0.073054318,"3939, 5223, 5315",53,70,8164,6.601617251,0.99991135,0.34109291,0.302269327,2.722819496,0.519605921
KEGG_PATHWAY,hsa04520,Adherens junction,3,4.411764706,0.074874053,"81, 8826, 87",53,71,8164,6.508636726,0.999930384,0.34109291,0.302269327,2.702355394,0.519605921
KEGG_PATHWAY,hsa01100,Metabolic pathways,15,22.05882353,0.09810208,"5351, 5230, 7167, 5223, 9446, 4191, 7086, 231, 10327, 3939, 226, 5315, 4831, 6888, 2739",53,1540,8164,1.500367557,0.99999695,0.430948422,0.381897382,0.585315973,0.418053319
KEGG_PATHWAY,hsa04512,ECM-receptor interaction,4,26.66666667,6.52E-05,"3339, 1293, 1291, 3912",9,88,8164,-41.23232323,0.001498101,0.001499175,0.001433994,-5.365703847,2.843452666
KEGG_PATHWAY,hsa04510,Focal adhesion,3,20,0.01531589,"1293, 1291, 3912",9,201,8164,-13.53897181,0.298820223,0.176132737,0.168474791,-3.759046275,0.773465074
KEGG_PATHWAY,hsa05165,Human papillomavirus infection,3,20,0.039027878,"1293, 1291, 3912",9,331,8164,-8.221550856,0.599734515,0.253825932,0.242790022,-3.03941056,0.614769166
KEGG_PATHWAY,hsa04151,PI3K-Akt signaling pathway,3,20,0.04414364,"1293, 1291, 3912",9,354,8164,-7.687382298,0.64597773,0.253825932,0.242790022,-2.942492416,0.614769166
KEGG_PATHWAY,hsa04974,Protein digestion and absorption,2,13.33333333,0.096624398,"1293, 1291",9,103,8164,-17.61380798,0.903401093,0.444472232,0.425147353,-4.138634938,0.371460521
