Category,Term,TermName,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,Log2E,Log10FDR
KEGG_PATHWAY,hsa00010,Glycolysis / Gluconeogenesis,10,12.5,1.03E-09,"10327, 5230, 7167, 3939, 226, 2597, 5223, 2023, 5315, 3945",61,67,8164,19.97553218,1.35E-07,1.35E-07,1.17E-07,4.320162034,6.931814138
KEGG_PATHWAY,hsa04612,Antigen processing and presentation,9,11.25,8.26E-08,"3304, 3326, 3303, 3312, 5720, 811, 3320, 3309, 2923",61,78,8164,15.44262295,1.08E-05,5.41E-06,4.71E-06,3.948845912,5.326979093
KEGG_PATHWAY,hsa04141,Protein processing in endoplasmic reticulum,11,13.75,3.81E-07,"23193, 3304, 3326, 3303, 5034, 3312, 811, 3320, 3309, 7184, 2923",61,171,8164,8.609337552,5.00E-05,1.67E-05,1.45E-05,3.105902233,4.838631998
KEGG_PATHWAY,hsa01230,Biosynthesis of amino acids,8,10,1.09E-06,"5230, 7167, 226, 2597, 5223, 2023, 5315, 6888",61,75,8164,14.27584699,1.42E-04,3.56E-05,3.10E-05,3.835504439,4.508638306
KEGG_PATHWAY,hsa01200,Carbon metabolism,9,11.25,1.69E-06,"5230, 7167, 226, 2597, 5223, 2023, 5315, 6888, 4191",61,115,8164,10.47412687,2.21E-04,4.42E-05,3.85E-05,3.38875808,4.41453927
KEGG_PATHWAY,hsa00620,Pyruvate metabolism,6,7.5,2.19E-05,"10327, 3939, 5315, 2739, 4191, 3945",61,47,8164,17.08545518,0.002866448,4.78E-04,4.16E-04,4.094696779,3.380906669
KEGG_PATHWAY,hsa04510,Focal adhesion,9,11.25,1.00E-04,"2317, 2316, 7057, 2335, 81, 7094, 3371, 87, 2318",61,201,8164,5.992659653,0.013035322,0.001874339,0.001631104,2.58319644,2.787518347
KEGG_PATHWAY,hsa05203,Viral carcinogenesis,8,10,6.90E-04,"7531, 7534, 81, 5315, 7529, 10971, 718, 87",61,204,8164,5.24847316,0.086400963,0.010332627,0.008991752,2.391897788,2.04615568
KEGG_PATHWAY,hsa05205,Proteoglycans in cancer,8,10,7.10E-04,"2317, 2316, 7057, 7430, 2335, 4478, 8826, 2318",61,205,8164,5.222870852,0.0888308,0.010332627,0.008991752,2.38484303,2.04615568
KEGG_PATHWAY,hsa04810,Regulation of actin cytoskeleton,8,10,0.001019974,"7430, 2335, 81, 4478, 5216, 8826, 4627, 87",61,218,8164,4.91141525,0.125134234,0.012147184,0.010570832,2.296138805,1.975890829
KEGG_PATHWAY,hsa04151,PI3K-Akt signaling pathway,10,12.5,0.001019993,"7057, 3326, 2335, 7531, 7534, 3320, 7529, 3371, 10971, 7184",61,354,8164,3.780679818,0.125136337,0.012147184,0.010570832,1.918645674,1.975890829
KEGG_PATHWAY,hsa04066,HIF-1 signaling pathway,6,7.5,0.0011789,"5230, 3939, 226, 2597, 2023, 3945",61,109,8164,7.367122876,0.14317967,0.012869661,0.011199552,2.881101305,1.950799349
KEGG_PATHWAY,hsa05132,Salmonella infection,8,10,0.002194252,"2317, 2316, 3326, 2597, 3320, 5216, 7184, 2318",61,249,8164,4.299953914,0.250060582,0.02211131,0.019241903,2.104321197,1.715751979
