Category,Term,TermName,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,Log2E,Log10FDR
KEGG_PATHWAY,hsa04612,Antigen processing and presentation,8,14.03508772,1.35E-07,"3304, 3326, 3303, 3312, 5720, 3320, 3309, 2923",44,78,8164,19.03030303,1.43E-05,1.43E-05,1.18E-05,4.25022663,4.928117993
KEGG_PATHWAY,hsa04141,Protein processing in endoplasmic reticulum,9,15.78947368,2.44E-06,"3304, 3326, 3303, 5034, 3312, 3320, 3309, 7184, 2923",44,171,8164,9.765550239,2.59E-04,1.29E-04,1.06E-04,3.287701335,3.974694135
KEGG_PATHWAY,hsa00010,Glycolysis / Gluconeogenesis,6,10.52631579,2.42E-05,"10327, 5230, 7167, 3939, 226, 5315",44,67,8164,16.61601085,0.002562052,8.55E-04,7.02E-04,4.054502158,3.153662888
KEGG_PATHWAY,hsa04510,Focal adhesion,8,14.03508772,7.50E-05,"2317, 2316, 2335, 81, 7094, 3371, 87, 2318",44,201,8164,7.384893713,0.007919654,0.001746159,0.001433168,2.884577157,2.843702897
KEGG_PATHWAY,hsa05203,Viral carcinogenesis,8,14.03508772,8.24E-05,"7531, 7534, 81, 5315, 7529, 10971, 718, 87",44,204,8164,7.276292335,0.00869315,0.001746159,0.001433168,2.863203506,2.843702897
KEGG_PATHWAY,hsa00620,Pyruvate metabolism,5,8.771929825,1.01E-04,"10327, 3939, 5315, 2739, 4191",44,47,8164,19.73887814,0.010644755,0.001783546,0.001463854,4.302968091,2.834502236
KEGG_PATHWAY,hsa04810,Regulation of actin cytoskeleton,8,14.03508772,1.25E-04,"7430, 2335, 81, 4478, 5216, 8826, 4627, 87",44,218,8164,6.809007506,0.013158307,0.001892117,0.001552964,2.767444524,2.808838612
KEGG_PATHWAY,hsa05132,Salmonella infection,8,14.03508772,2.84E-04,"2317, 2316, 79026, 3326, 3320, 5216, 7184, 2318",44,249,8164,5.961299744,0.029683682,0.003759107,0.003085305,2.575626916,2.510701897
KEGG_PATHWAY,hsa01200,Carbon metabolism,6,10.52631579,3.19E-04,"5230, 7167, 226, 5315, 6888, 4191",44,115,8164,9.680632411,0.033271282,0.003759107,0.003085305,3.275101298,2.510701897
KEGG_PATHWAY,hsa04151,PI3K-Akt signaling pathway,9,15.78947368,4.42E-04,"3326, 2335, 7531, 7534, 3320, 7529, 3371, 10971, 7184",44,354,8164,4.717257319,0.045743073,0.004681199,0.003842116,2.2379483,2.415429527
KEGG_PATHWAY,hsa01230,Biosynthesis of amino acids,5,8.771929825,6.18E-04,"5230, 7167, 226, 5315, 6888",44,75,8164,12.36969697,0.063448894,0.005777463,0.00474188,3.628738253,2.324049441
KEGG_PATHWAY,hsa05205,Proteoglycans in cancer,7,12.28070175,6.54E-04,"2317, 2316, 7430, 2335, 4478, 8826, 2318",44,205,8164,6.335698448,0.067002011,0.005777463,0.00474188,2.663503671,2.324049441
KEGG_PATHWAY,hsa04915,Estrogen signaling pathway,6,10.52631579,7.37E-04,"3304, 3326, 3303, 3312, 3320, 7184",44,138,8164,8.067193676,0.075197102,0.006011217,0.004933735,3.012066892,2.306824181
KEGG_PATHWAY,hsa05417,Lipid and atherosclerosis,7,12.28070175,8.40E-04,"3304, 3326, 3303, 3312, 3320, 3309, 7184",44,215,8164,6.041014799,0.085219874,0.006359581,0.005219656,2.594790921,2.282358118
KEGG_PATHWAY,hsa05134,Legionellosis,4,7.01754386,0.003267455,"3304, 3303, 3312, 718",44,57,8164,13.02073365,0.293136233,0.023090016,0.01895124,3.702738834,1.722362368
KEGG_PATHWAY,hsa04530,Tight junction,5,8.771929825,0.011671283,"7430, 81, 4478, 4627, 87",44,169,8164,5.48951049,0.711895576,0.077322251,0.063462602,2.456677507,1.197482126
KEGG_PATHWAY,hsa05146,Amoebiasis,4,7.01754386,0.016278272,"5052, 2335, 81, 87",44,102,8164,7.276292335,0.824426081,0.101499811,0.083306449,2.863203506,1.079321377
KEGG_PATHWAY,hsa04010,MAPK signaling pathway,6,10.52631579,0.018392764,"2317, 2316, 3304, 3303, 3312, 2318",44,294,8164,3.786641929,0.86023397,0.108312943,0.088898359,1.920919004,1.051106256
KEGG_PATHWAY,hsa04670,Leukocyte transendothelial migration,4,7.01754386,0.021828543,"7430, 81, 4478, 87",44,114,8164,6.510366826,0.903619647,0.121780293,0.09995175,2.702738834,1.000209598
KEGG_PATHWAY,hsa04110,Cell cycle,4,7.01754386,0.02829466,"7531, 7534, 7529, 10971",44,126,8164,5.89033189,0.95228373,0.149961697,0.12308177,2.558348925,0.909806267
KEGG_PATHWAY,hsa04114,Oocyte meiosis,4,7.01754386,0.031259143,"7531, 7534, 7529, 10971",44,131,8164,5.665510062,0.965485041,0.157784246,0.129502164,2.502205847,0.887722974
KEGG_PATHWAY,hsa05162,Measles,4,7.01754386,0.036330855,"3304, 3303, 3312, 4478",44,139,8164,5.339437541,0.980213768,0.175048666,0.143672018,2.416687776,0.842627808
KEGG_PATHWAY,hsa05131,Shigellosis,5,8.771929825,0.040143462,"81, 5216, 7094, 718, 87",44,247,8164,3.755980861,0.987002174,0.185008998,0.151847008,1.909189712,0.818593761
