Category,Term,TermName,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,Log2E,Log10FDR
KEGG_PATHWAY,hsa04714,Thermogenesis,5,5.208333333,0.034971182,"4705, 29078, 51079, 4698, 2181",45,232,8205,3.929597701,0.973508361,1,1,1.974381622,0
KEGG_PATHWAY,hsa04723,Retrograde endocannabinoid signaling,4,4.166666667,0.044485531,"4705, 51079, 2166, 4698",45,148,8205,4.927927928,0.990357241,1,1,2.300981156,0
KEGG_PATHWAY,hsa01200,Carbon metabolism,5,8.064516129,0.002063488,"48, 2027, 5631, 84706, 10873",40,115,8205,-8.918478261,0.281435053,0.254867196,0.254867196,-3.156797567,0.593686059
KEGG_PATHWAY,hsa01100,Metabolic pathways,16,25.80645161,0.00318584,"25902, 22933, 5330, 48, 8942, 5631, 84706, 7360, 55256, 220, 1118, 2632, 2027, 57103, 5019, 10873",40,1541,8205,-2.129785853,0.399833454,0.254867196,0.254867196,-1.090708377,0.593686059
KEGG_PATHWAY,hsa01230,Biosynthesis of amino acids,4,6.451612903,0.005294255,"48, 2027, 5631, 84706",40,75,8205,-10.94,0.572299087,0.282360284,0.282360284,-3.451540833,0.54919639
KEGG_PATHWAY,hsa03320,PPAR signaling pathway,3,4.838709677,0.0491523,"123, 10873, 2173",40,75,8205,-8.205,0.999685404,1,1,-3.036503334,0
KEGG_PATHWAY,hsa04540,Gap junction,3,4.838709677,0.065261031,"5330, 7082, 84790",40,88,8205,-6.992897727,0.999979561,1,1,-2.805890406,0
KEGG_PATHWAY,hsa05169,Epstein-Barr virus infection,4,6.451612903,0.070368213,"5608, 4939, 1643, 4067",40,202,8205,-4.061881188,0.999991493,1,1,-2.022148041,0
KEGG_PATHWAY,hsa05417,Lipid and atherosclerosis,4,6.451612903,0.081467722,"5608, 5330, 4067, 4689",40,215,8205,-3.81627907,0.999998755,1,1,-1.932166674,0
KEGG_PATHWAY,hsa01210,2-Oxocarboxylic acid metabolism,2,3.225806452,0.086640561,"48, 84706",40,19,8205,-21.59210526,0.999999496,1,1,-4.43243201,0
