Category,Term,TermName,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,Log2E,Log10FDR
KEGG_PATHWAY,hsa04610,Complement and coagulation cascades,17,9.770114943,3.27E-14,"5340, 5345, 3684, 3053, 2162, 2161, 5270, 1191, 3426, 3827, 730, 2147, 2158, 732, 722, 725, 715",116,86,8205,13.98205694,7.57E-12,7.58E-12,7.48E-12,3.80550471,11.1260984
KEGG_PATHWAY,hsa04810,Regulation of actin cytoskeleton,11,6.32183908,0.001354623,"55740, 3827, 730, 2147, 732, 3684, 1073, 3678, 5604, 2934, 5062",116,229,8205,3.397643427,0.269835586,0.130919394,0.12922647,1.764534454,0.888648519
KEGG_PATHWAY,hsa05143,African trypanosomiasis,5,2.873563218,0.001692923,"8542, 3827, 3383, 3606, 7064",116,37,8205,9.558480895,0.325032685,0.130919394,0.12922647,3.256781353,0.888648519
KEGG_PATHWAY,hsa05133,Pertussis,6,3.448275862,0.004151697,"722, 3684, 725, 715, 1073, 3678",116,76,8205,5.584165154,0.619092467,0.213160088,0.210403708,2.48134161,0.676946611
KEGG_PATHWAY,hsa00520,Amino sugar and nucleotide sugar metabolism,5,2.873563218,0.004775016,"2821, 5236, 3074, 91373, 3073",116,49,8205,7.217628431,0.670591625,0.213160088,0.210403708,2.851524874,0.676946611
KEGG_PATHWAY,hsa04979,Cholesterol metabolism,5,2.873563218,0.005512761,"5360, 4043, 336, 348, 350",116,51,8205,6.934584178,0.722656603,0.213160088,0.210403708,2.793809376,0.676946611
KEGG_PATHWAY,hsa05150,Staphylococcus aureus infection,6,3.448275862,0.01102143,"1667, 3426, 5340, 3684, 715, 3383",116,96,8205,4.420797414,0.923553707,0.365281671,0.360558202,2.144306623,0.443024621
KEGG_PATHWAY,hsa04145,Phagosome,7,4.022988506,0.019743738,"8411, 3684, 10382, 715, 3678, 84617, 9550",116,152,8205,3.257429673,0.990209767,0.572568415,0.565164513,1.703734032,0.247825116
KEGG_PATHWAY,hsa00511,Other glycan degradation,3,1.724137931,0.025739621,"4125, 3074, 3073",116,18,8205,11.7887931,0.997641643,0.663510235,0.654930361,3.559344122,0.183804876
KEGG_PATHWAY,hsa05171,Coronavirus disease - COVID-19,8,4.597701149,0.044135462,"730, 6223, 2147, 732, 6136, 715, 6206, 2162",116,232,8205,2.439060642,0.999971689,1,0.991341991,1.286325628,0.003776498
KEGG_PATHWAY,hsa05167,Kaposi sarcoma-associated herpesvirus infection,7,4.022988506,0.05475118,"3708, 643246, 81631, 1021, 637, 3383, 5604",116,194,8205,2.55221294,0.999997878,1,0.991341991,1.351748703,0.003776498
KEGG_PATHWAY,hsa00750,Vitamin B6 metabolism,2,1.149425287,0.081226784,"57026, 29968",116,6,8205,23.57758621,0.999999997,1,0.991341991,4.559344123,0.003776498
KEGG_PATHWAY,hsa00500,Starch and sucrose metabolism,3,1.724137931,0.090173539,"2821, 5236, 5837",116,36,8205,5.894396552,1,1,0.991341991,2.559344123,0.003776498
KEGG_PATHWAY,hsa05164,Influenza A,6,3.448275862,0.091908003,"5340, 1021, 637, 3383, 5604, 3606",116,171,8205,2.48185118,1,1,0.991341991,1.311416609,0.003776498
KEGG_PATHWAY,hsa01250,Biosynthesis of nucleotide sugars,3,1.724137931,0.094483894,"2821, 5236, 91373",116,37,8205,5.735088537,1,1,0.991341991,2.519815758,0.003776498
KEGG_PATHWAY,hsa04910,Insulin signaling pathway,7,4.402515723,0.002884079,"5571, 57521, 5257, 51422, 207, 10211, 2319",86,137,8205,-4.874809031,0.470283959,0.553962739,0.553962739,-2.285345703,0.256519446
KEGG_PATHWAY,hsa05170,Human immunodeficiency virus 1 infection,8,5.031446541,0.006249276,"2767, 10053, 2773, 2771, 207, 2185, 10298, 8905",86,212,8205,-3.600263273,0.748208643,0.553962739,0.553962739,-1.848102409,0.256519446
KEGG_PATHWAY,hsa04022,cGMP-PKG signaling pathway,7,4.402515723,0.007554037,"2767, 489, 2773, 2771, 207, 291, 490",86,167,8205,-3.999094834,0.811413217,0.553962739,0.553962739,-1.999673493,0.256519446
KEGG_PATHWAY,hsa01100,Metabolic pathways,25,15.72327044,0.021398576,"8991, 65985, 154807, 51144, 79017, 535, 92935, 1718, 10554, 253558, 51604, 5297, 3295, 79001, 1503, 3704, 57678, 55277, 27034, 3422, 645, 8879, 4832, 4712, 4714",86,1541,8205,-1.547809486,0.991423984,0.951362599,0.951362599,-0.630227907,0.021653926
KEGG_PATHWAY,hsa04213,Longevity regulating pathway - multiple species,4,2.51572327,0.026179702,"5571, 57521, 51422, 207",86,62,8205,-6.155288822,0.997080281,0.951362599,0.951362599,-2.621826553,0.021653926
KEGG_PATHWAY,hsa04714,Thermogenesis,7,4.402515723,0.032854986,"5571, 6597, 64223, 57521, 51422, 4712, 4714",86,232,8205,-2.878658781,0.999357088,0.951362599,0.951362599,-1.525396791,0.021653926
KEGG_PATHWAY,hsa04935,"Growth hormone synthesis, secretion and action",5,3.144654088,0.035604767,"2767, 2773, 2771, 6776, 207",86,120,8205,-3.975290698,0.999656353,0.951362599,0.951362599,-1.991060363,0.021653926
KEGG_PATHWAY,hsa04136,Autophagy - other,3,1.886792453,0.043040949,"26100, 64223, 57521",86,32,8205,-8.94440407,0.999937405,0.951362599,0.951362599,-3.160985364,0.021653926
KEGG_PATHWAY,hsa05010,Alzheimer disease,9,5.660377358,0.044746642,"26100, 1499, 489, 57142, 207, 291, 4712, 4714, 10313",86,384,8205,-2.236101017,0.999957725,0.951362599,0.951362599,-1.160985364,0.021653926
KEGG_PATHWAY,hsa04130,SNARE interactions in vesicular transport,3,1.886792453,0.045515945,"8417, 6811, 6844",86,33,8205,-8.673361522,0.999964591,0.951362599,0.951362599,-3.116591245,0.021653926
KEGG_PATHWAY,hsa04062,Chemokine signaling pathway,6,3.773584906,0.048623585,"2773, 2771, 207, 2185, 408, 57580",86,192,8205,-2.981468023,0.999982721,0.951362599,0.951362599,-1.576022864,0.021653926
KEGG_PATHWAY,hsa04371,Apelin signaling pathway,5,3.144654088,0.055806992,"5571, 2773, 2771, 51422, 207",86,139,8205,-3.431905638,0.999996739,0.951362599,0.951362599,-1.779009886,0.021653926
KEGG_PATHWAY,hsa04211,Longevity regulating pathway,4,2.51572327,0.064575769,"5571, 57521, 51422, 207",86,89,8205,-4.287954011,0.999999581,0.951362599,0.951362599,-2.100289433,0.021653926
KEGG_PATHWAY,hsa04261,Adrenergic signaling in cardiomyocytes,5,3.144654088,0.069824236,"489, 2773, 2771, 207, 490",86,150,8205,-3.180232558,0.999999879,0.951362599,0.951362599,-1.669132268,0.021653926
KEGG_PATHWAY,hsa04932,Non-alcoholic fatty liver disease,5,3.144654088,0.076744216,"5571, 51422, 207, 4712, 4714",86,155,8205,-3.077644411,0.999999977,0.951362599,0.951362599,-1.621826553,0.021653926
KEGG_PATHWAY,hsa00564,Glycerophospholipid metabolism,4,2.51572327,0.082980289,"57678, 10554, 253558, 9926",86,99,8205,-3.854827343,0.999999995,0.951362599,0.951362599,-1.946666244,0.021653926
KEGG_PATHWAY,hsa05163,Human cytomegalovirus infection,6,3.773584906,0.083571733,"2767, 1499, 2773, 2771, 207, 2185",86,225,8205,-2.544186047,0.999999995,0.951362599,0.951362599,-1.347204173,0.021653926
KEGG_PATHWAY,hsa05142,Chagas disease,4,2.51572327,0.088898666,"2767, 2773, 2771, 207",86,102,8205,-3.741450068,0.999999999,0.951362599,0.951362599,-1.903597522,0.021653926
KEGG_PATHWAY,hsa05016,Huntington disease,7,4.402515723,0.097020512,"3092, 26100, 5431, 1175, 291, 4712, 4714",86,306,8205,-2.18251254,1,0.951362599,0.951362599,-1.125989943,0.021653926
KEGG_PATHWAY,hsa04928,"Parathyroid hormone synthesis, secretion and action",4,2.51572327,0.097058778,"2767, 2773, 2771, 408",86,106,8205,-3.600263273,1,0.951362599,0.951362599,-1.848102409,0.021653926
KEGG_PATHWAY,hsa04922,Glucagon signaling pathway,4,2.51572327,0.099145418,"5571, 5257, 51422, 207",86,107,8205,-3.566615953,1,0.951362599,0.951362599,-1.834555877,0.021653926
