"","Comparison..group1.group2.","Group","ProteinGroups","AVG.Log2.Ratio","Absolute.AVG.Log2.Ratio","Pvalue","Qvalue","X..of.Ratios","UniProtIds","Genes","ProteinDescriptions","ProteinNames","X..Unique.Total.Peptides","X..Change","Ratio","Condition.Numerator","Condition.Denominator","GO.Cellular.Component","GO.Molecular.Function","GO.Biological.Process","minuslogqval","Color"
"1","TN / DF","P04264","P04264",-5.24129947,5.24129947,4.72e-246,7.81e-243,1176,"P04264","KRT1","Keratin, type II cytoskeletal 1","K2C1_HUMAN",65,-97.35630321,0.026436968,"TN","DF","extracellular space,nucleus,cytoskeleton,plasma membrane,membrane,extracellular matrix,keratin filament,extracellular exosome,blood microparticle","receptor activity,structural molecule activity,protein binding,carbohydrate binding","complement activation, lectin pathway,retina homeostasis,response to oxidative stress,fibrinolysis,regulation of angiogenesis,negative regulation of inflammatory response,establishment of skin barrier",242.107348966123,"Blue"
"2","TP / DF","P04264","P04264",-4.090188033,4.090188033,4.32e-217,8.33e-214,1176,"P04264","KRT1","Keratin, type II cytoskeletal 1","K2C1_HUMAN",65,-94.1287481,0.058712519,"TP","DF","extracellular space,nucleus,cytoskeleton,plasma membrane,membrane,extracellular matrix,keratin filament,extracellular exosome,blood microparticle","receptor activity,structural molecule activity,protein binding,carbohydrate binding","complement activation, lectin pathway,retina homeostasis,response to oxidative stress,fibrinolysis,regulation of angiogenesis,negative regulation of inflammatory response,establishment of skin barrier",213.079354998593,"Blue"
"3","HER2 / DF","P04264","P04264",-4.233233585,4.233233585,1.29e-210,2.1e-207,1176,"P04264","KRT1","Keratin, type II cytoskeletal 1","K2C1_HUMAN",65,-94.68296264,0.053170374,"HER2","DF","extracellular space,nucleus,cytoskeleton,plasma membrane,membrane,extracellular matrix,keratin filament,extracellular exosome,blood microparticle","receptor activity,structural molecule activity,protein binding,carbohydrate binding","complement activation, lectin pathway,retina homeostasis,response to oxidative stress,fibrinolysis,regulation of angiogenesis,negative regulation of inflammatory response,establishment of skin barrier",206.677780705266,"Blue"
"4","TN / DF","P35527","P35527",-5.649844899,5.649844899,1.16e-207,9.62e-205,1008,"P35527","KRT9","Keratin, type I cytoskeletal 9","K1C9_HUMAN",54,-98.00828491,0.019917151,"TN","DF","extracellular space,nucleus,intermediate filament,membrane,extracellular exosome","structural constituent of cytoskeleton","spermatogenesis,epidermis development,skin development,intermediate filament organization",204.016824927962,"Blue"
"5","Meta / DF","P02751","P02751",3.221535849,3.221535849,1.68e-206,2.97e-203,2016,"P02751","FN1","Fibronectin","FINC_HUMAN",117,832.7793492,9.327793492,"Meta","DF","extracellular region,fibrinogen complex,basal lamina,extracellular space,endoplasmic reticulum-Golgi intermediate compartment,apical plasma membrane,extracellular matrix,platelet alpha granule lumen,extracellular exosome,blood microparticle","protease binding,integrin binding,protein binding,collagen binding,heparin binding,peptidase activator activity","angiogenesis,regulation of protein phosphorylation,platelet degranulation,acute-phase response,cell-substrate junction assembly,cell adhesion,calcium-independent cell-matrix adhesion,positive regulation of cell proliferation,regulation of cell shape,response to wounding,positive regulation of gene expression,positive regulation of peptidase activity,peptide cross-linking,extracellular matrix disassembly,extracellular matrix organization,integrin activation,substrate adhesion-dependent cell spreading,endodermal cell differentiation,wound healing,positive regulation of axon extension,positive regulation of fibroblast proliferation,leukocyte migration,regulation of ERK1 and ERK2 cascade,positive regulation of substrate-dependent cell migration, cell attachment to substrate,negative regulation of transforming growth factor-beta secretion",202.527243550683,"Red"
"6","TN / DF","P15924","P15924",-3.986116742,3.986116742,2.38e-199,1.31e-196,2058,"P15924","DSP","Desmoplakin","DESP_HUMAN",163,-93.68956505,0.06310435,"TN","DF","cornified envelope,nucleus,cytoplasm,plasma membrane,fascia adherens,intercalated disc,basolateral plasma membrane,desmosome,extracellular matrix,extracellular exosome,intermediate filament","protein kinase C binding,structural molecule activity,structural constituent of cytoskeleton,protein binding,protein binding, bridging,poly(A) RNA binding,cell adhesion molecule binding,cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication,scaffold protein binding","desmosome organization,ventricular compact myocardium morphogenesis,epidermis development,peptide cross-linking,keratinocyte differentiation,adherens junction organization,wound healing,intermediate filament organization,protein localization to adherens junction,bundle of His cell-Purkinje myocyte adhesion involved in cell communication,regulation of heart rate by cardiac conduction,regulation of ventricular cardiac muscle cell action potential",195.882728704344,"Blue"
"7","TN / DF","P78527","P78527",2.501098501,2.501098501,5.07e-193,2.1e-190,3710,"P78527","PRKDC","DNA-dependent protein kinase catalytic subunit","PRKDC_HUMAN",256,466.1163148,5.661163148,"TN","DF","nuclear chromosome, telomeric region,nucleoplasm,transcription factor complex,nucleolus,cytosol,DNA-dependent protein kinase-DNA ligase 4 complex,membrane,extracellular matrix,nonhomologous end joining complex","double-stranded DNA binding,protein kinase activity,protein serine/threonine kinase activity,DNA-dependent protein kinase activity,protein binding,ATP binding,transcription factor binding,enzyme binding,poly(A) RNA binding","somitogenesis,negative regulation of protein phosphorylation,B cell lineage commitment,pro-B cell differentiation,T cell lineage commitment,negative regulation of immunoglobulin production,positive regulation of immune system process,double-strand break repair,double-strand break repair via nonhomologous end joining,cellular protein modification process,brain development,heart development,cell proliferation,intrinsic apoptotic signaling pathway in response to DNA damage,response to gamma radiation,response to activity,telomere capping,peptidyl-serine phosphorylation,protein destabilization,positive regulation of type I interferon production,cellular response to insulin stimulus,T cell differentiation in thymus,immunoglobulin V(D)J recombination,T cell receptor V(D)J recombination,ectopic germ cell programmed cell death,regulation of circadian rhythm,positive regulation of apoptotic process,negative regulation of apoptotic process,positive regulation of transcription from RNA polymerase II promoter,positive regulation of fibroblast proliferation,rhythmic process,spleen development,thymus development,positive regulation of developmental growth,regulation of smooth muscle cell proliferation,signal transduction involved in mitotic G1 DNA damage checkpoint,double-strand break repair via alternative nonhomologous end joining,negative regulation of cellular senescence,negative regulation of response to gamma radiation",189.677780705266,"Red"
"8","ERPR / DF","P04264","P04264",-4.315179385,4.315179385,2.72e-191,4.74e-188,1176,"P04264","KRT1","Keratin, type II cytoskeletal 1","K2C1_HUMAN",65,-94.97655596,0.05023444,"ERPR","DF","extracellular space,nucleus,cytoskeleton,plasma membrane,membrane,extracellular matrix,keratin filament,extracellular exosome,blood microparticle","receptor activity,structural molecule activity,protein binding,carbohydrate binding","complement activation, lectin pathway,retina homeostasis,response to oxidative stress,fibrinolysis,regulation of angiogenesis,negative regulation of inflammatory response,establishment of skin barrier",187.324221658326,"Blue"
"9","TP / DF","P13645","P13645",-4.140195379,4.140195379,1.57e-189,1.51e-186,896,"P13645","KRT10","Keratin, type I cytoskeletal 10","K1C10_HUMAN",51,-94.32877337,0.056712266,"TP","DF","extracellular space,nucleus,cytoplasm,intermediate filament,membrane,extracellular exosome","structural constituent of epidermis","keratinocyte differentiation",185.821023052707,"Blue"
"10","TN / DF","P13645","P13645",-5.194955147,5.194955147,8.02e-185,2.66e-182,896,"P13645","KRT10","Keratin, type I cytoskeletal 10","K1C10_HUMAN",51,-97.26999983,0.027300002,"TN","DF","extracellular space,nucleus,cytoplasm,intermediate filament,membrane,extracellular exosome","structural constituent of epidermis","keratinocyte differentiation",181.575118363369,"Blue"
"11","Meta / DF","P15924","P15924",-4.00177756,4.00177756,3.84e-180,3.39e-177,2058,"P15924","DSP","Desmoplakin","DESP_HUMAN",163,-93.75769595,0.06242304,"Meta","DF","cornified envelope,nucleus,cytoplasm,plasma membrane,fascia adherens,intercalated disc,basolateral plasma membrane,desmosome,extracellular matrix,extracellular exosome,intermediate filament","protein kinase C binding,structural molecule activity,structural constituent of cytoskeleton,protein binding,protein binding, bridging,poly(A) RNA binding,cell adhesion molecule binding,cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication,scaffold protein binding","desmosome organization,ventricular compact myocardium morphogenesis,epidermis development,peptide cross-linking,keratinocyte differentiation,adherens junction organization,wound healing,intermediate filament organization,protein localization to adherens junction,bundle of His cell-Purkinje myocyte adhesion involved in cell communication,regulation of heart rate by cardiac conduction,regulation of ventricular cardiac muscle cell action potential",176.469800301797,"Blue"
"12","TN / DF","P35908","P35908",-5.350486451,5.350486451,6.86e-178,1.89e-175,868,"P35908","KRT2","Keratin, type II cytoskeletal 2 epidermal","K22E_HUMAN",51,-97.54900127,0.024509987,"TN","DF","extracellular space,nucleus,cytoplasm,Golgi apparatus,intermediate filament,membrane,keratin filament,intermediate filament cytoskeleton,extracellular exosome","structural constituent of cytoskeleton,protein binding,cytoskeletal protein binding","keratinocyte development,epidermis development,keratinization,keratinocyte activation,keratinocyte proliferation,intermediate filament organization,keratinocyte migration",174.723538195827,"Blue"
"13","TP / DF","P35527","P35527",-4.400800347,4.400800347,4.17e-175,2.68e-172,1008,"P35527","KRT9","Keratin, type I cytoskeletal 9","K1C9_HUMAN",54,-95.26601268,0.047339873,"TP","DF","extracellular space,nucleus,intermediate filament,membrane,extracellular exosome","structural constituent of cytoskeleton","spermatogenesis,epidermis development,skin development,intermediate filament organization",171.571865205971,"Blue"
"14","HER2 / DF","P13645","P13645",-4.278079291,4.278079291,2.77e-171,2.25e-168,896,"P13645","KRT10","Keratin, type I cytoskeletal 10","K1C10_HUMAN",51,-94.84569861,0.051543014,"HER2","DF","extracellular space,nucleus,cytoplasm,intermediate filament,membrane,extracellular exosome","structural constituent of epidermis","keratinocyte differentiation",167.647817481889,"Blue"
"15","Meta / DF","P04264","P04264",-3.563638889,3.563638889,2.62e-170,1.54e-167,1176,"P04264","KRT1","Keratin, type II cytoskeletal 1","K2C1_HUMAN",65,-91.5425819,0.084574181,"Meta","DF","extracellular space,nucleus,cytoskeleton,plasma membrane,membrane,extracellular matrix,keratin filament,extracellular exosome,blood microparticle","receptor activity,structural molecule activity,protein binding,carbohydrate binding","complement activation, lectin pathway,retina homeostasis,response to oxidative stress,fibrinolysis,regulation of angiogenesis,negative regulation of inflammatory response,establishment of skin barrier",166.812479279164,"Blue"
"16","TP / DF","P15924","P15924",-3.40753317,3.40753317,1.13e-169,5.45e-167,2058,"P15924","DSP","Desmoplakin","DESP_HUMAN",163,-90.57610791,0.094238921,"TP","DF","cornified envelope,nucleus,cytoplasm,plasma membrane,fascia adherens,intercalated disc,basolateral plasma membrane,desmosome,extracellular matrix,extracellular exosome,intermediate filament","protein kinase C binding,structural molecule activity,structural constituent of cytoskeleton,protein binding,protein binding, bridging,poly(A) RNA binding,cell adhesion molecule binding,cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication,scaffold protein binding","desmosome organization,ventricular compact myocardium morphogenesis,epidermis development,peptide cross-linking,keratinocyte differentiation,adherens junction organization,wound healing,intermediate filament organization,protein localization to adherens junction,bundle of His cell-Purkinje myocyte adhesion involved in cell communication,regulation of heart rate by cardiac conduction,regulation of ventricular cardiac muscle cell action potential",166.263603497723,"Blue"
